#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0211119	FBti0211119	Ankle2	TI{CRIMIC.GT14}	-	-	-	TI{CRIMIC.GT14}Ankle2[CRIMIC]
FBti0199458	FBti0199458	DAT	TI{CRIMIC.GT14}	-1	-	78865 y[1] w[*]; TI{CRIMIC.GT14}DAT[CR00012]	TI{CRIMIC.GT14}DAT[CR00012]
FBti0199459	FBti0199459	CycA	TI{CRIMIC.GT14}	-1	-	78866 y[1] w[*]; TI{CRIMIC.GT14}CycA[CR00017]/TM3, Sb[1] Ser[1]	TI{CRIMIC.GT14}CycA[CR00017]
FBti0199460	FBti0199460	ATPCL	TI{CRIMIC.GT14}	-1	-	78867 y[1] w[*]; TI{CRIMIC.GT14}ATPCL[CR00023]	TI{CRIMIC.GT14}ATPCL[CR00023]
FBti0199461	FBti0199461	L2HGDH	TI{CRIMIC.GT14}	-1	-	78868 y[1] w[*]; TI{CRIMIC.GT14}L2HGDH[CR00042]	TI{CRIMIC.GT14}L2HGDH[CR00042]
FBti0199462	FBti0199462	Dhc64C	TI{CRIMIC.GT14}	-1	-	78869 y[1] w[*]; TI{CRIMIC.GT14}Dhc64C[CR00045]/TM3, Sb[1] Ser[1]	TI{CRIMIC.GT14}Dhc64C[CR00045]
FBti0199463	FBti0199463	Sar1	TI{CRIMIC.GT14}	1	-	78870 y[1] w[*]; TI{CRIMIC.GT14}Sar1[CR00049]/TM3, Sb[1] Ser[1]	TI{CRIMIC.GT14}Sar1[CR00049]
FBti0199464	FBti0199464	CG7335 <newline> gig	TI{CRIMIC.GT14}	1	-	78871 y[1] w[*]; TI{CRIMIC.GT14}gig[CR00050] CG7335[CR00050]/TM3, Sb[1] Ser[1]	TI{CRIMIC.GT14}gig[CR00050]
FBti0199465	FBti0199465	CG15111	TI{CRIMIC.GT14}	1	-	78872 y[1] w[*]; TI{CRIMIC.GT14}CG15111[CR00060]	TI{CRIMIC.GT14}CG15111[CR00060]
FBti0199466	FBti0199466	Pfk	TI{CRIMIC.GT14}	1	-	78873 y[1] w[*]; TI{CRIMIC.GT14}Pfk[CR00064]	TI{CRIMIC.GT14}Pfk[CR00064]
FBti0199467	FBti0199467	Sec23	TI{CRIMIC.GT36}	1	-	78874 y[1] w[*]; TI{CRIMIC.GT36}Sec23[CR00083]/TM3, Sb[1] Ser[1]	TI{CRIMIC.GT36}Sec23[CR00083]
FBti0199468	FBti0199468	CG3270	TI{CRIMIC.GT36}	1	-	78875 y[1] w[*]; TI{CRIMIC.GT36}CG3270[CR00090]	TI{CRIMIC.GT36}CG3270[CR00090]
