#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0163603	FBti0163603	-	Mi{MIC}	1	-	58531 y[1] w[*]; Mi{MIC}MI12546	Mi{MIC}MI12546
FBti0131703	FBti0131703	tou	Mi{MIC}	-1	-	33074 y[1] w[*]; Mi{MIC}tou[MI00620]	Mi{MIC}tou[MI00620]
FBti0146192	FBti0146192	tau	Mi{MIC}	-1	-	37602 y[1] w[*]; Mi{MIC}tau[MI03440]	Mi{MIC}tau[MI03440]
FBti0154929	FBti0154929	inv	Mi{MIC}	-1	-	52163 y[1] w[*]; Mi{MIC}inv[MI09433]	Mi{MIC}inv[MI09433]
FBti0156936	FBti0156936	chrb	Mi{MIC}	1	-	53813 y[1] w[*]; Mi{MIC}chrb[MI10118]	Mi{MIC}chrb[MI10118]
FBti0166457	FBti0166457	ImpL2	Mi{MIC}	-1	-	59246 y[1] w[*]; Mi{MIC}ImpL2[MI14001]/TM3, Sb[1] Ser[1]	Mi{MIC}ImpL2[MI14001]
FBti0166572	FBti0166572	Atg8a	Mi{MIC}	-1	-	59357 y[1] w[*] Mi{MIC}Atg8a[MI13726]/Binsinscy	Mi{MIC}Atg8a[MI13726]
FBti0166596	FBti0166596	bchs <newline> CG14000	Mi{MIC}	1	-	59378 y[1] w[*]; Mi{MIC}bchs[MI14478] CG14000[MI14478]	Mi{MIC}bchs[MI14478]
FBti0148240	FBti0148240	Lsp1beta	Mi{MIC}	1	-	40782 y[1] w[*]; Mi{MIC}Lsp1β[MI05460]	Mi{MIC}Lsp1beta[MI05460]
FBti0162047	FBti0162047	Vps13D	Mi{MIC}	-1	-	56282 y[1] w[*]; Mi{MIC}Vps13D[MI11101]	Mi{MIC}Vps13D[MI11101]
FBti0132560	FBti0132560	vir-1	Mi{MIC}	-1	-	34135 y[1] w[*]; Mi{MIC}vir-1[MI00981]	Mi{MIC}vir-1[MI00981]
FBti0166458	FBti0166458	ClC-a	Mi{MIC}	-1	-	59247 y[1] w[*]; Mi{MIC}ClC-a[MI14007]/TM3, Sb[1] Ser[1]	Mi{MIC}ClC-a[MI14007]
FBti0202968	FBti0202968	Dop1R2	Mi{GT-GAL4}	-	-	-	Mi{GT-GAL4}Dop1R2[MI08664-GAL4]
