## FlyBase disease model annotation report
## Generated: Thu Jul 21 06:25:05 2022
## Using datasource: fb_2022_04_reporting
##
## FBgn ID	Gene symbol	HGNC ID	DO qualifier	DO ID	DO term	Allele used in model (FBal ID)	Allele used in model (symbol)	Based on orthology with (HGNC ID)	Based on orthology with (symbol)	Evidence/interacting alleles	Reference (FBrf ID)
FBgn0000008	a		exacerbates	DOID:2129	atypical teratoid rhabdoid tumor	FBal0299140	a[HMC03685]			modeled by FLYBASE:Snr1[KK101602]; FB:FBal0231379	FBrf0241270
FBgn0000014	abd-A		model of	DOID:1240	leukemia	FBal0346203	abd-A[UAS.Tag:HA]			CEA	FBrf0247817
FBgn0000014	abd-A		model of	DOID:1240	leukemia	FBal0346203	abd-A[UAS.Tag:HA]			is ameliorated by FLYBASE:Psc[1]; FB:FBal0013980	FBrf0247817
FBgn0000014	abd-A		model of	DOID:1240	leukemia	FBal0346203	abd-A[UAS.Tag:HA]			is ameliorated by FLYBASE:esc[2]; FB:FBal0003822	FBrf0247817
FBgn0000015	Abd-B		model of	DOID:0111568	congenital vertical talus			HGNC:5133	HOXD10	IEA	FBrf0241599
FBgn0000017	Abl		ameliorates	DOID:12858	Huntington's disease	FBal0095895	Abl[UAS.cFa]			modeled by FLYBASE:Hsap\HTT[128Q.1-231.UAS]; FB:FBal0368452	FBrf0249076
FBgn0000017	Abl		model of	DOID:8552	chronic myeloid leukemia			HGNC:76	ABL1	IEA	FBrf0241599
FBgn0000017	Abl		exacerbates	DOID:8552	chronic myeloid leukemia	FBal0095895	Abl[UAS.cFa]			modeled by FLYBASE:Hsap\ABL1::Hsap\BCR[UAS.cBa]; FB:FBal0348146	FBrf0241911
FBgn0000017	Abl		ameliorates	DOID:8552	chronic myeloid leukemia	FBal0095896	Abl[K417N.UAS]			modeled by FLYBASE:Hsap\ABL1::Hsap\BCR[UAS.cBa]; FB:FBal0348146	FBrf0241911
FBgn0000017	Abl		ameliorates	DOID:8552	chronic myeloid leukemia	FBal0198637	Abl[GD1344]			modeled by FLYBASE:Hsap\ABL1::Hsap\BCR[UAS.cBa]; FB:FBal0348146	FBrf0241911
FBgn0000017	Abl		ameliorates	DOID:14261	fragile X syndrome	FBal0028708	Abl[1]			modeled by FLYBASE:Fmr1[&Dgr;50M]; FB:FBal0131033	FBrf0228582
