gene_id,gene_name,hgnc_id,do_qualifier,do_id,do_term,allele_used_in_model_fbal,allele_used_in_model_symbol,orthology_with_hgnc_id,orthology_with_symbol,evidence,reference
FBgn0000008,a,NA,exacerbates,DOID:2129,atypical teratoid rhabdoid tumor,FBal0299140,a[HMC03685],NA,NA,modeled by FLYBASE:Snr1[KK101602]; FB:FBal0231379,FBrf0241270
FBgn0000014,abd-A,NA,model of,DOID:1240,leukemia,FBal0346203,abd-A[UAS.Tag:HA],NA,NA,CEA,FBrf0247817
FBgn0000014,abd-A,NA,model of,DOID:1240,leukemia,FBal0346203,abd-A[UAS.Tag:HA],NA,NA,is ameliorated by FLYBASE:Psc[1]; FB:FBal0013980,FBrf0247817
FBgn0000014,abd-A,NA,model of,DOID:1240,leukemia,FBal0346203,abd-A[UAS.Tag:HA],NA,NA,is ameliorated by FLYBASE:esc[2]; FB:FBal0003822,FBrf0247817
FBgn0000015,Abd-B,NA,model of,DOID:0111568,congenital vertical talus,NA,NA,HGNC:5133,HOXD10,IEA,FBrf0241599
FBgn0000017,Abl,NA,ameliorates,DOID:12858,Huntington's disease,FBal0095895,Abl[UAS.cFa],NA,NA,modeled by FLYBASE:Hsap\HTT[128Q.1-231.UAS]; FB:FBal0368452,FBrf0249076
FBgn0000017,Abl,NA,model of,DOID:8552,chronic myeloid leukemia,NA,NA,HGNC:76,ABL1,IEA,FBrf0241599
FBgn0000017,Abl,NA,exacerbates,DOID:8552,chronic myeloid leukemia,FBal0095895,Abl[UAS.cFa],NA,NA,modeled by FLYBASE:Hsap\ABL1::Hsap\BCR[UAS.cBa]; FB:FBal0348146,FBrf0241911
FBgn0000017,Abl,NA,ameliorates,DOID:8552,chronic myeloid leukemia,FBal0095896,Abl[K417N.UAS],NA,NA,modeled by FLYBASE:Hsap\ABL1::Hsap\BCR[UAS.cBa]; FB:FBal0348146,FBrf0241911
FBgn0000017,Abl,NA,ameliorates,DOID:8552,chronic myeloid leukemia,FBal0198637,Abl[GD1344],NA,NA,modeled by FLYBASE:Hsap\ABL1::Hsap\BCR[UAS.cBa]; FB:FBal0348146,FBrf0241911
FBgn0000017,Abl,NA,ameliorates,DOID:14261,fragile X syndrome,FBal0028708,Abl[1],NA,NA,modeled by FLYBASE:Fmr1[&Dgr;50M]; FB:FBal0131033,FBrf0228582
FBgn0000028,acj6,NA,model of,DOID:0110546,autosomal dominant nonsyndromic deafness,NA,NA,HGNC:9220,POU4F3,IEA,FBrf0241599
FBgn0000032,Acph-1,NA,model of,DOID:0080953,amelogenesis imperfecta,NA,NA,HGNC:14376,ACP4,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0060682,autosomal dominant nocturnal frontal lobe epilepsy,NA,NA,HGNC:1958,CHRNA4,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0060684,autosomal dominant nocturnal frontal lobe epilepsy,NA,NA,HGNC:1962,CHRNB2,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0060685,autosomal dominant nocturnal frontal lobe epilepsy,NA,NA,HGNC:1956,CHRNA2,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0110666,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0110665,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0110664,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0110678,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0110677,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0110679,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0080110,multiple pterygium syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000036,nAChRalpha1,NA,model of,DOID:0080110,multiple pterygium syndrome,NA,NA,HGNC:1967,CHRNG,IEA,FBrf0241599
FBgn0000037,mAChR-A,NA,ameliorates,DOID:4252,Alexander disease,FBal0209960,mAChR-A[GD630],NA,NA,modeled by FLYBASE:Hsap\GFAP[R79H.UAS]; FB:FBal0283570,FBrf0230868
