pathways_name_level0,gene_secondary_identifier,gene_symbol,pathways_identifier_level1,pathways_name_level1,datasets_name,gene_primary_identifier
Metabolism of proteins,CG10000,CG10000,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0039596
Immune System,CG10001,AstA-R2,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0039595
Signal Transduction,CG10001,AstA-R2,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0039595
Signal Transduction,CG10002,fkh,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0000659
Transport of small molecules,CG10006,Zip71B,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0036461
Transport of small molecules,CG10019,CG10019,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0031568
Metabolism,CG10026,CG10026,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0032785
Immune System,CG10033,for,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0000721
Metabolism,CG10033,for,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0000721
Signal Transduction,CG10033,for,R-DME-5683057,MAPK family signaling cascades,Reactome pathways data set,FBgn0000721
Gene expression (Transcription),CG10042,MBD-R2,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0038016
Signal Transduction,CG10043,RtGEF,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0015803
Cell-Cell communication,CG10043,RtGEF,R-DME-446728,Cell junction organization,Reactome pathways data set,FBgn0015803
Signal Transduction,CG10043,RtGEF,R-DME-73887,Death Receptor Signalling,Reactome pathways data set,FBgn0015803
Signal Transduction,CG10043,RtGEF,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0015803
Developmental Biology,CG10043,RtGEF,R-DME-9675108,Nervous system development,Reactome pathways data set,FBgn0015803
Signal Transduction,CG10043,RtGEF,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0015803
Vesicle-mediated transport,CG10047,Syt4,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0028400
Cell Cycle,CG10055,CG10055,R-DME-73886,Chromosome Maintenance,Reactome pathways data set,FBgn0037482
Hemostasis,CG10059,MAGE,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0037481
Neuronal System,CG10060,Galphai,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0001104
Metabolism,CG10060,Galphai,R-DME-163685,Integration of energy metabolism,Reactome pathways data set,FBgn0001104
Signal Transduction,CG10060,Galphai,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0001104
Sensory Perception,CG10060,Galphai,R-DME-2187338,Visual phototransduction,Reactome pathways data set,FBgn0001104
Signal Transduction,CG10060,Galphai,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0001104
Hemostasis,CG10060,Galphai,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0001104
Signal Transduction,CG10060,Galphai,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0001104
Sensory Perception,CG10060,Galphai,R-DME-9717189,Sensory perception of taste,Reactome pathways data set,FBgn0001104
Metabolism,CG10069,MFS16,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0034611
Cellular responses to stimuli,CG1007,emc,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0000575
