"","gene_id","Gene name","description","Datasets with significant neurite enrichment (p<0.1)","Average of significant (p<0.1) log2 enrichment","Datasets with neurite TPM > 10","Detection Rank (extended Table1)","Exclusive significant enrichment in specific cells","Studies with neurite ribosome association","primary motor neurons B","Ascl1 induced neurons B","primary dorsal root ganglia","neuroblastoma line CAD","primary cortical neurons B","neuroblastoma line N2A","Ascl1 induced neurons A","primary motor neurons C","iPSC derived motor neurons","hippocampal tissue B","hippocampal tissue C","Zappulo2017_loc.translation","Shigeoka2016_loc.translation","Ouwenga2017_loc.translation","Ainsley2014_loc.translation"
"8662","ENSMUSG00000000959","Oxa1l","oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]","0","","11","2053","Non-primary","1","","","","","","","","","","","","","","","0.591187953151143"
"8663","ENSMUSG00000002496","Tsc2","TSC complex subunit 2 [Source:MGI Symbol;Acc:MGI:102548]","0","","10","2822","Non-primary","2","","","","","","","","","","","","","0.274149393820884","","0.623535973229225"
"8664","ENSMUSG00000002550","Uck1","uridine-cytidine kinase 1 [Source:MGI Symbol;Acc:MGI:98904]","0","","10","3263","Non-primary","0","","","","","","","","","","","","","","",""
"8665","ENSMUSG00000002635","Pdcd2l","programmed cell death 2-like [Source:MGI Symbol;Acc:MGI:1915329]","0","","6","6878","Non-primary","0","","","","","","","","","","","","","","",""
"8666","ENSMUSG00000002963","Pnkp","polynucleotide kinase 3'- phosphatase [Source:MGI Symbol;Acc:MGI:1891698]","0","","6","7149","Non-primary","1","","","","","","","","","","","","","0.131795072350411","",""
"8667","ENSMUSG00000003585","Sec14l2","SEC14-like lipid binding 2 [Source:MGI Symbol;Acc:MGI:1915065]","0","","3","10328","Non-primary","0","","","","","","","","","","","","","","",""
"8668","ENSMUSG00000003762","Coq8b","coenzyme Q8B [Source:MGI Symbol;Acc:MGI:1924139]","0","","5","8182","Non-primary","0","","","","","","","","","","","","","","",""
"8669","ENSMUSG00000004070","Hmox2","heme oxygenase 2 [Source:MGI Symbol;Acc:MGI:109373]","0","","9","3971","Non-primary","0","","","","","","","","","","","","","","",""
"8670","ENSMUSG00000006010","Odr4","odr4 GPCR localization factor homolog [Source:MGI Symbol;Acc:MGI:2385108]","0","","6","7137","Non-primary","0","","","","","","","","","","","","","","",""
"8671","ENSMUSG00000006021","Kptn","kaptin [Source:MGI Symbol;Acc:MGI:1890380]","0","","4","8841","Non-primary","0","","","","","","","","","","","","","","",""
"8672","ENSMUSG00000006215","Zbtb17","zinc finger and BTB domain containing 17 [Source:MGI Symbol;Acc:MGI:107410]","0","","7","6175","Non-primary","1","","","","","","","","","","","","","0.815017598748533","",""
"8673","ENSMUSG00000006289","Osgep","O-sialoglycoprotein endopeptidase [Source:MGI Symbol;Acc:MGI:1913496]","0","","8","5155","Non-primary","0","","","","","","","","","","","","","","",""
"8674","ENSMUSG00000008429","Herpud2","HERPUD family member 2 [Source:MGI Symbol;Acc:MGI:1915393]","0","","4","9276","Non-primary","0","","","","","","","","","","","","","","",""
"8675","ENSMUSG00000015016","Acsf3","acyl-CoA synthetase family member 3 [Source:MGI Symbol;Acc:MGI:2182591]","0","","3","10643","Non-primary","0","","","","","","","","","","","","","","",""
"8676","ENSMUSG00000015247","Nipsnap3b","nipsnap homolog 3B [Source:MGI Symbol;Acc:MGI:1913786]","0","","8","4697","Non-primary","1","","","","","","","","","","","","","0.0168165819319515","",""
"8677","ENSMUSG00000015994","Fnta","farnesyltransferase, CAAX box, alpha [Source:MGI Symbol;Acc:MGI:104683]","0","","14","411","Non-primary","0","","","","","","","","","","","","","","",""
"8678","ENSMUSG00000016409","Nkap","NFKB activating protein [Source:MGI Symbol;Acc:MGI:1914300]","0","","3","10532","Non-primary","1","","","","","","","","","","","","","0.344935471255377","",""
"8679","ENSMUSG00000018841","Rad51d","RAD51 paralog D [Source:MGI Symbol;Acc:MGI:1261809]","0","","3","10937","Non-primary","0","","","","","","","","","","","","","","",""
"8680","ENSMUSG00000019864","Rtn4ip1","reticulon 4 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2178759]","0","","3","10961","Non-primary","0","","","","","","","","","","","","","","",""
"8681","ENSMUSG00000020212","Mdm1","transformed mouse 3T3 cell double minute 1 [Source:MGI Symbol;Acc:MGI:96951]","0","","4","9284","Non-primary","0","","","","","","","","","","","","","","",""
"8682","ENSMUSG00000020605","Hs1bp3","HCLS1 binding protein 3 [Source:MGI Symbol;Acc:MGI:1913224]","0","","6","6987","Non-primary","1","","","","","","","","","","","","","","","0.538761851645287"
"8683","ENSMUSG00000020691","Mettl2","methyltransferase like 2 [Source:MGI Symbol;Acc:MGI:1289171]","0","","7","5749","Non-primary","1","","","","","","","","","","","","","","","0.973229224762967"
"8684","ENSMUSG00000020781","Tsen54","tRNA splicing endonuclease subunit 54 [Source:MGI Symbol;Acc:MGI:1923515]","0","","4","9111","Non-primary","0","","","","","","","","","","","","","","",""
"8685","ENSMUSG00000020840","Blmh","bleomycin hydrolase [Source:MGI Symbol;Acc:MGI:1345186]","0","","13","721","Non-primary","1","","","","","","","","","","","","","","","0.122141662018963"
