Refseq no,Gene name,Astrocytes-E_soma,Astrocytes-E_protrusion
NM_007682,Cenpb,166.12,8451.12
NM_029787,Cyb5r3,452.53,16329.51
NM_178111,Trp53inp2,46.71,1598.07
NM_027641,Spef1,41.42,1094.73
NM_001033342,Cdc42bpg,53.76,1417.69
NM_008018,Sh3pxd2a,63.01,1354.05
NM_138956,Rassf3,60.37,1261.71
NM_016701,Nes,82.40,1536.83
NM_009127,Scd1,128.67,2396.15
NM_175464,Pkp4,22.91,414.35
NM_001168472,Dynll2,107.96,1917.21
NM_026677,Rab13,87.69,1488.50
NM_029658,Fam101b,16.74,284.21
NM_172406,Trak2,65.21,1061.71
NM_011546,Zeb1,22.47,352.63
NM_177763,Lhfpl4,11.46,176.07
NM_001013380,Dync1li2,57.28,851.19
NM_146019,Chd3,27.76,411.96
NM_008633,Mtap4,211.06,2805.71
NM_001146012,R3hcc1,21.15,277.51
NM_028283,Uaca,8.37,109.57
NM_001033319,Ppfia1,44.50,580.38
NM_181416,Arhgap11a,50.67,655.97
NM_028242,Htatsf1,53.76,664.11
NM_030693,Atf5,296.55,3606.19
NM_026083,Zc3h13,10.13,122.49
NR_028478,Snora75,296.99,3106.67
NM_010248,Gab2,12.34,124.40
NM_130889,Anp32b,102.67,1031.09
NM_001114097,Smarcc2,26.00,252.15
NM_146150,Nrd1,160.39,1525.82
NM_008450,Klc1,12.78,120.09
NM_207653,Cflar,48.03,446.89
NM_011202,Ptpn11,19.39,179.42
NM_022563,Ddr2,217.67,1991.37
NM_015781,Nap1l1,389.08,3533.94
NM_009736,Bag1,296.11,2683.71
NM_001001491,Tpm4,102.23,916.26
NM_028966,Samd4,100.02,877.50
NM_001170641,Rufy4,5.29,45.93
NM_011586,Myo18a,13.22,112.92
NM_009672,Anp32a,59.05,495.21
NM_025663,Gpatch4,15.86,132.53
NM_007631,Ccnd1,608.96,5046.84
NM_001081963,9430020K01Rik,98.70,798.08
NM_026988,Ptms,609.84,4765.03
NM_011941,Mapkbp1,6.61,49.76
NM_008691,Nefm,26.00,192.34
NM_030035,Golgb1,22.03,159.33
NM_146093,Ubxn1,458.26,3269.35
NM_201355,Nat14,30.84,216.27
NM_001164172,Map2k7,37.01,256.46
NM_025924,Upf3a,46.27,318.66
NM_010755,Maff,93.41,642.10
NM_001033226,Calr4,8.81,60.29
NM_007591,Calr,686.07,4659.29
NM_008449,Kif5c,22.91,154.07
NM_177340,Synpo,34.37,228.23
NM_026880,Pink1,59.05,377.51
NM_007661,Cdk11b,13.66,87.08
NM_010898,Nf2,30.40,191.86
NM_028108,Naa50,218.55,1372.24
NM_020267,Trim44,71.38,442.10
NM_018748,Golga4,53.32,323.44
NM_016710,Hmgn5,13.66,82.77
NM_025287,Spop,66.54,400.00
NM_001101433,Zcchc24,177.14,1063.63
NM_146119,Fam129b,261.30,1500.94
NM_001146707,Nap1l1,12.34,70.81
NM_025618,Sri,37.89,217.22
