ontology,GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment
BP,GO:0007275,multicellular organism development,5627,21,8.09,1.1e-06,0.0056166,0.0028083,2.6
BP,GO:0022603,regulation of anatomical structure morph...,1045,10,1.5,1.1e-06,0.0056166,0.0028083,6.67
BP,GO:0048856,anatomical structure development,6261,21,9,7.2e-06,0.036763199999999996,0.0097014,2.33
BP,GO:0000904,cell morphogenesis involved in different...,748,8,1.08,7.6e-06,0.0388056,0.0097014,7.41
BP,GO:0048731,system development,5225,19,7.51,1.0e-05,0.05106,0.010212,2.53
BP,GO:0000902,cell morphogenesis,1065,9,1.53,1.2e-05,0.061272,0.010212,5.88
BP,GO:0051179,localization,6784,21,9.75,2.9e-05,0.148074,0.018154666666666666,2.15
BP,GO:0007399,nervous system development,2630,13,3.78,2.9e-05,0.148074,0.018154666666666666,3.44
BP,GO:2001222,regulation of neuron migration,43,3,0.06,3.2e-05,0.16339199999999998,0.018154666666666666,50
BP,GO:0032502,developmental process,7006,21,10.07,4.9e-05,0.25019399999999997,0.0250194,2.09
BP,GO:0061001,regulation of dendritic spine morphogene...,52,3,0.07,5.6e-05,0.28593599999999997,0.02599418181818182,42.86
BP,GO:0048813,dendrite morphogenesis,157,4,0.23,7.3e-05,0.372738,0.0310615,17.39
BP,GO:0031122,cytoplasmic microtubule organization,61,3,0.09,9.1e-05,0.464646,0.03391842857142857,33.33
BP,GO:0009653,anatomical structure morphogenesis,2932,13,4.21,9.3e-05,0.474858,0.03391842857142857,3.09
BP,GO:0022604,regulation of cell morphogenesis,332,5,0.48,0.00010,0.5106,0.03404,10.42
BP,GO:0060997,dendritic spine morphogenesis,66,3,0.09,0.00012,0.61272,0.03604235294117648,33.33
BP,GO:0060998,regulation of dendritic spine developmen...,67,3,0.1,0.00012,0.61272,0.03604235294117648,30
BP,GO:0099173,postsynapse organization,184,4,0.26,0.00013,0.6637799999999999,0.036471428571428564,15.38
BP,GO:0032879,regulation of localization,3069,13,4.41,0.00015,0.7658999999999999,0.036471428571428564,2.95
BP,GO:0035418,protein localization to synapse,72,3,0.1,0.00015,0.7658999999999999,0.036471428571428564,30
BP,GO:0048814,regulation of dendrite morphogenesis,72,3,0.1,0.00015,0.7658999999999999,0.036471428571428564,30
BP,GO:0048667,cell morphogenesis involved in neuron di...,583,6,0.84,0.00016,0.81696,0.037134545454545455,7.14
BP,GO:0099518,vesicle cytoskeletal trafficking,78,3,0.11,0.00019,0.97014,0.0387351724137931,27.27
BP,GO:0006928,movement of cell or subcellular componen...,2297,11,3.3,0.00021,1,0.0387351724137931,3.33
BP,GO:2000026,regulation of multicellular organismal d...,1531,9,2.2,0.00021,1,0.0387351724137931,4.09
BP,GO:0065008,regulation of biological quality,4153,15,5.97,0.00022,1,0.0387351724137931,2.51
BP,GO:0009791,post-embryonic development,82,3,0.12,0.00022,1,0.0387351724137931,25
BP,GO:0051270,regulation of cellular component movemen...,1201,8,1.73,0.00022,1,0.0387351724137931,4.62
BP,GO:0030705,cytoskeleton-dependent intracellular tra...,210,4,0.3,0.00022,1,0.0387351724137931,13.33
BP,GO:0010770,positive regulation of cell morphogenesi...,83,3,0.12,0.00023,1,0.039146,25
BP,GO:0007051,spindle organization,216,4,0.31,0.00025,1,0.041177419354838714,12.9
BP,GO:0006305,DNA alkylation,88,3,0.13,0.00027,1,0.04177636363636363,23.08
BP,GO:0006306,DNA methylation,88,3,0.13,0.00027,1,0.04177636363636363,23.08
BP,GO:0032501,multicellular organismal process,8498,22,12.22,0.00030,1,0.043765714285714276,1.8
BP,GO:0048812,neuron projection morphogenesis,659,6,0.95,0.00030,1,0.043765714285714276,6.32
BP,GO:0097061,dendritic spine organization,92,3,0.13,0.00031,1,0.04396833333333334,23.08
BP,GO:0120039,plasma membrane bounded cell projection ...,674,6,0.97,0.00034,1,0.04692,6.19
BP,GO:0048858,cell projection morphogenesis,678,6,0.97,0.00035,1,0.04702894736842106,6.19
BP,GO:0099175,regulation of postsynapse organization,100,3,0.14,0.00039,1,0.04984428571428571,21.43
BP,GO:0106027,neuron projection organization,101,3,0.15,0.00041,1,0.04984428571428571,20
BP,GO:0032990,cell part morphogenesis,697,6,1,0.00041,1,0.04984428571428571,6
BP,GO:0008090,retrograde axonal transport,21,2,0.03,0.00041,1,0.04984428571428571,66.67
BP,GO:0010769,regulation of cell morphogenesis involve...,102,3,0.15,0.00042,1,0.04987255813953489,20
BP,GO:1902414,protein localization to cell junction,103,3,0.15,0.00043,1,0.04989954545454545,20
BP,GO:0060996,dendritic spine development,106,3,0.15,0.00047,1,0.05210204081632653,20
BP,GO:0010975,regulation of neuron projection developm...,467,5,0.67,0.00049,1,0.05210204081632653,7.46
BP,GO:0051240,positive regulation of multicellular org...,1718,9,2.47,0.00049,1,0.05210204081632653,3.64
BP,GO:0061003,positive regulation of dendritic spine m...,23,2,0.03,0.00050,1,0.05210204081632653,66.67
BP,GO:0006816,calcium ion transport,469,5,0.67,0.00050,1,0.05210204081632653,7.46
BP,GO:0050773,regulation of dendrite development,110,3,0.16,0.00052,1,0.0531024,18.75
BP,GO:0016358,dendrite development,268,4,0.39,0.00056,1,0.054913584905660374,10.26
BP,GO:0044728,DNA methylation or demethylation,113,3,0.16,0.00056,1,0.054913584905660374,18.75
