ontology,GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment
BP,GO:0051641,cellular localization,3069,29,7.35,1.8e-12,9.1908e-9,9.1908e-9,3.95
BP,GO:0006996,organelle organization,3891,31,9.32,1.6e-11,8.169599999999999e-8,4.0847999999999996e-8,3.33
BP,GO:0051649,establishment of localization in cell,2249,23,5.39,3.0e-10,1.5317999999999999e-6,4.21245e-7,4.27
BP,GO:0071840,cellular component organization or bioge...,6774,38,16.23,3.3e-10,1.68498e-6,4.21245e-7,2.34
BP,GO:0016043,cellular component organization,6554,37,15.7,7.3e-10,3.72738e-6,7.45476e-7,2.36
BP,GO:0007399,nervous system development,2630,24,6.3,1.0e-09,5.106e-6,8.510000000000001e-7,3.81
BP,GO:0034613,cellular protein localization,1877,20,4.5,3.6e-09,1.83816e-5,2.616825e-6,4.44
BP,GO:0070727,cellular macromolecule localization,1891,20,4.53,4.1e-09,2.09346e-5,2.616825e-6,4.42
BP,GO:0051128,regulation of cellular component organiz...,2475,22,5.93,1.2e-08,6.1272e-5,6.808000000000001e-6,3.71
BP,GO:0007010,cytoskeleton organization,1540,17,3.69,4.9e-08,2.50194e-4,2.3673272727272727e-5,4.61
BP,GO:0033036,macromolecule localization,3192,24,7.65,5.1e-08,2.6040600000000003e-4,2.3673272727272727e-5,3.14
BP,GO:0008104,protein localization,2687,22,6.44,5.6e-08,2.85936e-4,2.3828e-5,3.42
BP,GO:0051179,localization,6784,35,16.25,6.1e-08,3.1146600000000004e-4,2.395892307692308e-5,2.15
BP,GO:1903827,regulation of cellular protein localizat...,573,11,1.37,8.6e-08,4.3911600000000003e-4,3.136542857142857e-5,8.03
BP,GO:0046907,intracellular transport,1624,17,3.89,1.1e-07,5.616600000000001e-4,3.7444e-5,4.37
BP,GO:0032879,regulation of localization,3069,23,7.35,1.2e-07,6.1272e-4,3.8295e-5,3.13
BP,GO:0008090,retrograde axonal transport,21,4,0.05,1.7e-07,8.6802e-4,5.106e-5,80
BP,GO:0007417,central nervous system development,1118,14,2.68,2.3e-07,0.00117438,6.524333333333333e-5,5.22
BP,GO:0120036,plasma membrane bounded cell projection ...,1577,16,3.78,4.4e-07,0.0022466400000000003,1.1824421052631581e-4,4.23
BP,GO:0048666,neuron development,1204,14,2.88,5.6e-07,0.00285936,1.4296800000000002e-4,4.86
BP,GO:0098930,axonal transport,68,5,0.16,6.0e-07,0.0030635999999999997,1.4389636363636363e-4,31.25
BP,GO:0031175,neuron projection development,1031,13,2.47,6.2e-07,0.00316572,1.4389636363636363e-4,5.26
BP,GO:0030030,cell projection organization,1624,16,3.89,6.5e-07,0.0033189,1.443e-4,4.11
BP,GO:0060341,regulation of cellular localization,870,12,2.08,7.2e-07,0.00367632,1.5318e-4,5.77
BP,GO:0006810,transport,4925,28,11.8,8.2e-07,0.00418692,1.674768e-4,2.37
BP,GO:0030182,neuron differentiation,1478,15,3.54,1.1e-06,0.0056166,2.1602307692307693e-4,4.24
BP,GO:0051049,regulation of transport,1934,17,4.63,1.3e-06,0.0066378,2.3706428571428572e-4,3.67
BP,GO:0008088,axo-dendritic transport,80,5,0.19,1.3e-06,0.0066378,2.3706428571428572e-4,26.32
BP,GO:0007017,microtubule-based process,937,12,2.24,1.6e-06,0.008169599999999999,2.8171034482758615e-4,5.36
BP,GO:0051234,establishment of localization,5094,28,12.2,1.7e-06,0.0086802,2.8933999999999996e-4,2.3
BP,GO:0051130,positive regulation of cellular componen...,1149,13,2.75,2.1e-06,0.010722599999999999,3.4589032258064515e-4,4.73
BP,GO:0007420,brain development,816,11,1.95,2.8e-06,0.0142968,4.46775e-4,5.64
BP,GO:0000226,microtubule cytoskeleton organization,664,10,1.59,3.2e-06,0.016339199999999998,4.951272727272727e-4,6.29
BP,GO:0048699,generation of neurons,1647,15,3.95,4.3e-06,0.0219558,6.457588235294118e-4,3.8
BP,GO:0033554,cellular response to stress,2118,17,5.07,4.5e-06,0.022977,6.564857142857143e-4,3.35
BP,GO:0060322,head development,860,11,2.06,4.7e-06,0.0239982,6.666166666666667e-4,5.34
BP,GO:0048519,negative regulation of biological proces...,6455,31,15.46,5.6e-06,0.0285936,7.727999999999999e-4,2.01
BP,GO:1903829,positive regulation of cellular protein ...,303,7,0.73,7.4e-06,0.0377844,9.943263157894738e-4,9.59
BP,GO:0032880,regulation of protein localization,924,11,2.21,9.2e-06,0.0469752,0.0012044923076923078,4.98
BP,GO:0051129,negative regulation of cellular componen...,757,10,1.81,1.0e-05,0.05106,0.0012453658536585367,5.52
BP,GO:0032502,developmental process,7006,32,16.78,1.0e-05,0.05106,0.0012453658536585367,1.91
BP,GO:0048468,cell development,2259,17,5.41,1.1e-05,0.056166,0.0012481333333333334,3.14
BP,GO:0048523,negative regulation of cellular process,5562,28,13.33,1.1e-05,0.056166,0.0012481333333333334,2.1
BP,GO:0048731,system development,5225,27,12.52,1.1e-05,0.056166,0.0012481333333333334,2.16
BP,GO:0022008,neurogenesis,1779,15,4.26,1.1e-05,0.056166,0.0012481333333333334,3.52
BP,GO:0007062,sister chromatid cohesion,59,4,0.14,1.2e-05,0.061272,0.0013036595744680853,28.57
BP,GO:0007051,spindle organization,216,6,0.52,1.2e-05,0.061272,0.0013036595744680853,11.54
BP,GO:0007275,multicellular organism development,5627,28,13.48,1.4e-05,0.07148399999999999,0.00148925,2.08
BP,GO:0051246,regulation of protein metabolic process,2871,19,6.88,1.7e-05,0.086802,0.001771469387755102,2.76
BP,GO:0045184,establishment of protein localization,1854,15,4.44,1.8e-05,0.091908,0.0018021176470588236,3.38
BP,GO:0051050,positive regulation of transport,995,11,2.38,1.8e-05,0.091908,0.0018021176470588236,4.62
BP,GO:0007063,regulation of sister chromatid cohesion,22,3,0.05,1.9e-05,0.097014,0.0018656538461538463,60
BP,GO:0033043,regulation of organelle organization,1213,12,2.91,2.2e-05,0.112332,0.0021194716981132074,4.12
BP,GO:0007049,cell cycle,1906,15,4.57,2.5e-05,0.12765,0.002363888888888889,3.28
BP,GO:0048856,anatomical structure development,6261,29,15,3.6e-05,0.183816,0.0033421090909090912,1.93
BP,GO:0015031,protein transport,1735,14,4.16,3.8e-05,0.194028,0.0034647857142857145,3.37
BP,GO:0071705,nitrogen compound transport,2231,16,5.34,3.9e-05,0.199134,0.003493578947368421,3
BP,GO:0010970,transport along microtubule,161,5,0.39,4.1e-05,0.209346,0.003609413793103448,12.82
BP,GO:0022402,cell cycle process,1297,12,3.11,4.2e-05,0.21445199999999998,0.003634779661016949,3.86
BP,GO:0007064,mitotic sister chromatid cohesion,30,3,0.07,5.0e-05,0.2553,0.004255,42.86
BP,GO:0033365,protein localization to organelle,924,10,2.21,5.6e-05,0.28593599999999997,0.004687475409836065,4.52
BP,GO:0000904,cell morphogenesis involved in different...,748,9,1.79,6.2e-05,0.316572,0.005106,5.03
BP,GO:0051171,regulation of nitrogen compound metaboli...,6108,28,14.63,7.0e-05,0.35741999999999996,0.00566446875,1.91
BP,GO:0006886,intracellular protein transport,949,10,2.27,7.1e-05,0.362526,0.00566446875,4.41
BP,GO:0061458,reproductive system development,438,7,1.05,7.8e-05,0.398268,0.006127199999999999,6.67
BP,GO:0031323,regulation of cellular metabolic process,6531,29,15.65,8.4e-05,0.42890399999999995,0.006498545454545454,1.85
BP,GO:0000278,mitotic cell cycle,975,10,2.34,8.8e-05,0.449328,0.006706388059701492,4.27
BP,GO:0032268,regulation of cellular protein metabolic...,2667,17,6.39,9.2e-05,0.469752,0.006908117647058824,2.66
BP,GO:0099111,microtubule-based transport,196,5,0.47,0.00010,0.5106,0.0074,10.64
BP,GO:0080090,regulation of primary metabolic process,6287,28,15.06,0.00012,0.61272,0.008753142857142857,1.86
BP,GO:0006913,nucleocytoplasmic transport,328,6,0.79,0.00013,0.6637799999999999,0.009219166666666667,7.59
BP,GO:0051169,nuclear transport,328,6,0.79,0.00013,0.6637799999999999,0.009219166666666667,7.59
BP,GO:0030705,cytoskeleton-dependent intracellular tra...,210,5,0.5,0.00014,0.7148399999999999,0.009792328767123286,10
BP,GO:0022411,cellular component disassembly,486,7,1.16,0.00015,0.7658999999999999,0.010211999999999999,6.03
BP,GO:0032388,positive regulation of intracellular tra...,213,5,0.51,0.00015,0.7658999999999999,0.010211999999999999,9.8
BP,GO:0060249,anatomical structure homeostasis,341,6,0.82,0.00016,0.81696,0.010749473684210527,7.32
BP,GO:1903076,regulation of protein localization to pl...,115,4,0.28,0.00017,0.86802,0.011272987012987014,14.29
BP,GO:0000902,cell morphogenesis,1065,10,2.55,0.00018,0.91908,0.011783076923076926,3.92
BP,GO:0007229,integrin-mediated signaling pathway,119,4,0.29,0.00019,0.97014,0.01212675,13.79
BP,GO:0032386,regulation of intracellular transport,353,6,0.85,0.00019,0.97014,0.01212675,7.06
BP,GO:0006928,movement of cell or subcellular componen...,2297,15,5.5,0.00021,1,0.013237777777777779,2.73
BP,GO:0008089,anterograde axonal transport,52,3,0.12,0.00026,1,0.01599469879518072,25
BP,GO:0032501,multicellular organismal process,8498,33,20.36,0.00026,1,0.01599469879518072,1.62
BP,GO:0035556,intracellular signal transduction,2910,17,6.97,0.00027,1,0.016219058823529413,2.44
BP,GO:0021987,cerebral cortex development,131,4,0.31,0.00027,1,0.016219058823529413,12.9
BP,GO:0044085,cellular component biogenesis,3510,19,8.41,0.00028,1,0.016433103448275862,2.26
BP,GO:0033157,regulation of intracellular protein tran...,243,5,0.58,0.00028,1,0.016433103448275862,8.62
BP,GO:0010639,negative regulation of organelle organiz...,381,6,0.91,0.00029,1,0.016452666666666668,6.59
BP,GO:0009892,negative regulation of metabolic process,3834,20,9.19,0.00029,1,0.016452666666666668,2.18
BP,GO:0051276,chromosome organization,919,9,2.2,0.00029,1,0.016452666666666668,4.09
BP,GO:0035264,multicellular organism growth,134,4,0.32,0.00030,1,0.016832967032967033,12.5
BP,GO:0010001,glial cell differentiation,247,5,0.59,0.00031,1,0.016838936170212766,8.47
BP,GO:0022607,cellular component assembly,3237,18,7.76,0.00031,1,0.016838936170212766,2.32
BP,GO:0045104,intermediate filament cytoskeleton organ...,55,3,0.13,0.00031,1,0.016838936170212766,23.08
BP,GO:0010564,regulation of cell cycle process,731,8,1.75,0.00032,1,0.01684453608247423,4.57
BP,GO:0051640,organelle localization,551,7,1.32,0.00032,1,0.01684453608247423,5.3
BP,GO:1904375,regulation of protein localization to ce...,137,4,0.33,0.00032,1,0.01684453608247423,12.12
BP,GO:0045103,intermediate filament-based process,56,3,0.13,0.00033,1,0.01702,23.08
BP,GO:0051172,negative regulation of nitrogen compound...,2668,16,6.39,0.00033,1,0.01702,2.5
BP,GO:0051726,regulation of cell cycle,1149,10,2.75,0.00034,1,0.017188514851485148,3.64
BP,GO:0044248,cellular catabolic process,2396,15,5.74,0.00034,1,0.017188514851485148,2.61
BP,GO:0022414,reproductive process,1623,12,3.89,0.00035,1,0.017506285714285714,3.08
BP,GO:0071702,organic substance transport,2687,16,6.44,0.00036,1,0.017506285714285714,2.48
BP,GO:0000003,reproduction,1626,12,3.9,0.00036,1,0.017506285714285714,3.08
BP,GO:0010638,positive regulation of organelle organiz...,562,7,1.35,0.00036,1,0.017506285714285714,5.19
BP,GO:0048522,positive regulation of cellular process,6314,27,15.13,0.00039,1,0.018438333333333334,1.78
BP,GO:0010605,negative regulation of macromolecule met...,3603,19,8.63,0.00039,1,0.018438333333333334,2.2
BP,GO:1902531,regulation of intracellular signal trans...,1894,13,4.54,0.00039,1,0.018438333333333334,2.86
