ontology,ID,Description,GeneRatio,foreground_nominator,foreground_denominator,BgRatio,background_nominator,background_denominator,pvalue,p.adjust,qvalue,geneID,Count,fc,l2fc,log10_padjust
bp,GO:0002181,cytoplasmic translation,101/1637,101,1637,128/6356,128,6356,5.998789941406792e-37,2.71145305351587e-33,2.092630512191801e-33,RpLP0/eIF4A/RpL36/RpS5a/RpLP1/RpS3/RpL32/mle/RpLP2/RpL4/sta/RpL40/RpS27A/RpS14a/RpS14a/me31B/RpS2/orb/eIF2beta/RpS17/RpL7/RpL23/RpS15Aa/RpS13/RpS9/RpL18A/RpS18/RpS19a/RpL13/RpS4/RpL11/RpL7A/RpL22/RpS21/RpL9/eIF3i/RpL29/RpS3A/RpL14/RpS20/RpL3/RpL39/RpL10/RpL23A/RpL15/RpL35/Pink1/RpL17/RpS28b/RpL37a/eIF5/RpL36A/RpL24/RpL21/CG8635/RpS15Ab/RpS11/eIF3m/RpS23/RpS15/RpS16/CNBP/RpL12/RpL28/eIF1/RpL18/RpL10Ab/RpL26/eRF1/eIF3a/RpL35A/RpL13A/RpL34b/RpL24-like/RpS5b/RpS30/RpS27/RpL27/RpL34a/RpS8/RpS7/RpL6/RpL38/RpL5/RpS25/RpL30/RpS6/RpS24/RpS26/RpS29/RpL8/RpL37A/larp/eIF4H1/eIF2gamma/orb2/RpS10b/RpL27A/RpL31/RpL19/RpS12,101,3.0637026572999386,1.6152762856261602,32.56679791059991
bp,GO:0051603,proteolysis involved in protein catabolic process,141/1637,141,1637,302/6356,302,6356,7.161528732122617e-16,1.4140442534418706e-12,1.0913233944821516e-12,Pka-C1/Hsc70-3/eIF4A/Prosbeta6/dco/Rpn8/sgg/RpL40/RpS27A/Ubi-p63E/Prosalpha4/Ubc6/gol/Calr/faf/gcl/Uch/Prosbeta1/eff/poe/Cdc27/Cp1/CkIalpha/Diap2/Rpt2/Rpn10/Cul1/Cnx99A/Vsp37A/Prosalpha5/Usp47/Cbl/Rpt6/Vps28/eIF3h/Vps25/Uba1/Prosbeta2/Prosalpha7/EloB/inc/SkpA/Roc1a/Ubc10/Prosbeta3/Rad23/STUB1/Stam/Tnks/Hrd3/Rpt5/Rpt4/Rpt3/Rpt1/Rpn7/Rpn6/Rpn5/Rpn9/Rpn2/Rpn11/Rpn1/REG/Prosbeta5/Pink1/UbcE2H/Usp7/CtsB1/HUWE1/CG8974/CG8188/Ubqn/CG15445/Usp2/Rchy1/Ufd4/CG9934/Prosbeta4/Sgt/Pomp/Pngl/CG7220/PI31/CG17019/Rpn13/CG8405/Ntan1/Vps20/Herc4/CG1317/CG7546/CG4911/CG7656/Rnf146/Usp32/CG7611/gzl/Kcmf1/trbd/FBXO11/CG5823/CG4538/Usp8/Usp12-46/puf/Npl4/Vps2/Gp93/ago/Fsn/Roc2/Trim9/Ndfip/Usp10/CG32850/CG40045/snama/Prosalpha2/ALiX/Ubi-p5E/shrb/Prosbeta7/Prosalpha6/Nedd4/CG12163/ctrip/Ubr3/Cul3/Prosalpha3/Rpn3/RanBPM/fzr/CkIIalpha/rdx/tn/Sem1/EloC/Bruce/Ubc7/slmb/Vps4/TER94,141,1.812789507538827,0.8582114159480804,11.84953699879593
bp,GO:0006412,translation,179/1637,179,1637,414/6356,414,6356,9.385249469746928e-16,1.4140442534418706e-12,1.0913233944821516e-12,RpLP0/bru1/eEF1alpha2/eEF2/Hrb98DE/eIF4A/AspRS/RpL36/RpS5a/RpLP1/RpS3/RpL32/mle/pum/RpLP2/RpL4/sta/stau/RpL40/RpS27A/RpS14a/RpS14a/me31B/Hrb27C/RpS2/orb/eIF2beta/RpS17/RpL7/Pabp2/RpL23/RpS15Aa/RpS13/RpS9/RpL18A/RpS18/RpS19a/NAT1/heph/RpL13/RpS4/msi/twin/mRpL12/RpL11/RpL7A/eIF4E1/RpL22/RpS21/Lis-1/RpL9/eIF3i/RpL29/RpS3A/Rga/RpL14/RpS20/eRF3/Rack1/eIF4B/RpL3/Xbp1/eIF3h/RpL39/eIF4G1/RpL10/eIF3e/eIF1A/eIF5B/RpL23A/TyrRS/ThrRS/HisRS/eIF3j/Dp1/RpL15/Fmr1/eEF1beta/Mkrn1/eEF1gamma/eIF3g1/RpL35/Pink1/RpL17/RpS28b/RpL37a/eIF5/RpL36A/CG13124/eEF1delta/RpL24/CG10602/RpL21/Not3/CG8635/RpS15Ab/RpS11/eIF3m/RpS23/RpS15/eIF3b/eIF3c/eIF3k/RpS16/CNBP/RpL12/PAN3/RpL28/eIF1/RpL18/Srp9/RpL10Ab/Pop2/eIF3l/RpL26/eRF1/CG7414/eIF3a/eIF3f1/RpL35A/RpL13A/CG2017/mRpS9/RpL34b/RpL24-like/Paip2/RpS5b/Sra-1/mRpS11/Syp/RpS30/Ythdf/RpS27/RpL27/RpL34a/RpS8/RpS7/RpL6/RpL38/eIF3d1/Rheb/Rbfox1/eIF4EHP/RpL5/Not1/AsnRS/RpS25/pix/RpL30/kra/glo/RpS6/RpS24/RpS26/RpS29/RpL8/RpL37A/eIF2alpha/larp/bru2/eIF4H1/Unr/sqd/eIF2gamma/bru3/orb2/how/pAbp/tn/Ge-1/eEF1alpha1/bsf/RpS10b/RpL27A/RpL31/RpL19/eEF5/RpS12/mRpS5,179,1.6787572412124219,0.747393622639297,11.84953699879593
bp,GO:0019941,modification-dependent protein catabolic process,133/1637,133,1637,283/6356,283,6356,2.6451754015209958e-15,2.989048203718725e-12,2.306871389642258e-12,Pka-C1/Hsc70-3/eIF4A/Prosbeta6/dco/Rpn8/sgg/RpL40/RpS27A/Ubi-p63E/Prosalpha4/Ubc6/gol/Calr/faf/gcl/Uch/Prosbeta1/eff/poe/Cdc27/CkIalpha/Diap2/Rpt2/Rpn10/Cul1/Cnx99A/Vsp37A/Prosalpha5/Usp47/Cbl/Rpt6/Vps28/eIF3h/Vps25/Uba1/Prosbeta2/Prosalpha7/EloB/inc/SkpA/Roc1a/Ubc10/Prosbeta3/Rad23/STUB1/Stam/Tnks/Rpt5/Rpt4/Rpt3/Rpt1/Rpn7/Rpn6/Rpn5/Rpn9/Rpn2/Rpn11/Rpn1/Prosbeta5/Pink1/UbcE2H/Usp7/HUWE1/CG8974/CG8188/Ubqn/CG15445/Usp2/Rchy1/Ufd4/CG9934/Prosbeta4/Sgt/Pomp/CG7220/PI31/CG17019/Rpn13/Ntan1/Vps20/Herc4/CG1317/CG7546/CG4911/CG7656/Rnf146/Usp32/CG7611/gzl/Kcmf1/trbd/FBXO11/CG5823/Usp8/Usp12-46/puf/Npl4/Vps2/Gp93/ago/Fsn/Roc2/Trim9/Ndfip/Usp10/CG32850/CG40045/snama/Prosalpha2/ALiX/Ubi-p5E/shrb/Prosbeta7/Prosalpha6/Nedd4/ctrip/Ubr3/Cul3/Prosalpha3/Rpn3/RanBPM/fzr/CkIIalpha/rdx/tn/Sem1/EloC/Bruce/Ubc7/slmb/Vps4/TER94,133,1.8247375726086892,0.867688995543673,11.52446708113327
bp,GO:0016192,vesicle-mediated transport,196/1637,196,1637,471/6356,471,6356,4.194653754923094e-15,3.0755965370785607e-12,2.3736671923331044e-12,AnxB9/BicD/bsk/Chc/cni/csw/Dab/EcR/g/Gs1/dco/lt/Pkc53E/rb/shi/spir/Syb/vap/Csp/Syt1/Ubc6/Rop/Syn/Rap1/drk/Gdi/hep/Rac1/Cdc42/Arf79F/AP-1-2beta/emp/jar/Snap25/Moe/Syx5/Sep1/nSyb/nuf/Arf102F/Arf51F/Rab2/Rab5/Rac2/Rho1/Vps26/CanB2/Lis-1/Nak/Rab10/Rab11/Rab14/Rab18/Rab7/Rab6/Past1/Rab4/Cbl/Vps28/Vps25/Dap160/Ocrl/syd/Sec13/Flo1/Crk/Clc/AP-1mu/alphaCOP/Sbf/Crag/Rlip/Sara/Drp1/Amph/Stam/Madm/Syt4/lqf/Fmr1/gammaCOP/deltaCOP/Vap33/CHOp24/AP-1gamma/p24-1/Rab3-GEF/CG9132/Mvb12/Tao/Rab35/Zir/Vps29/Snx1/PAPLA1/Snx6/Reps/Yip1d1/Rab9/Cirl/Sec31/Sec24AB/Git/Syngr/EndoB/Synj/Vps35/Vps20/asrij/Golgin245/Eps-15/CG13887/Vta1/CG15012/CHMP2B/Ist1/ergic53/CG5946/Syx8/TSG101/Vps60/Chmp1/ArfGAP3/Vps24/jagn/gzl/Arl8/CG11753/ATP6AP2/CG8176/CG8507/GCC185/Snx3/EndoA/CG7956/Sar1/Nrx-1/AP-1sigma/Vps2/CG5447/Arl4/PIP4K/krz/Scamp/zetaCOP/cpx/SCAR/bai/CG30423/CG31475/CG31729/Vps11/Synd/Cadps/eca/ALiX/lap/shrb/spin/step/stmA/alphaSnap/gish/mnb/Nedd4/Sep4/l(3)76BDm/Sec22/Ykt6/Bet3/lqfR/tweek/fwe/l(2)gd1/Gprk2/Sec23/Sec24CD/nsl1/pyd/scrib/Vha68-2/mib1/garz/AP-2alpha/Slh/rudhira/Nsf2/Hsc70-4/Snap24/unc-104/KdelR/sau/Syx7/Vps4/Rab1/TER94,196,1.6157358951113256,0.6921913973767908,11.512070636755164
bp,GO:0043604,amide biosynthetic process,195/1637,195,1637,468/6356,468,6356,4.265007505014968e-15,3.0755965370785607e-12,2.3736671923331044e-12,RpLP0/bru1/eEF1alpha2/eEF2/Hrb98DE/ifc/eIF4A/AspRS/RpL36/RpS5a/RpLP1/RpS3/RpL32/mle/pum/RpLP2/RpL4/sta/stau/RpL40/RpS27A/RpS14a/RpS14a/me31B/Hrb27C/RpS2/orb/eIF2beta/RpS17/RpL7/Pabp2/RpL23/RpS15Aa/Parp/RpS13/RpS9/RpL18A/RpS18/RpS19a/NAT1/heph/RpL13/RpS4/msi/twin/mRpL12/AcCoAS/RpL11/RpL7A/eIF4E1/Diap2/RpL22/RpS21/Lis-1/RpL9/eIF3i/RpL29/RpS3A/Rga/RpL14/RpS20/ATPCL/eRF3/Rack1/eIF4B/RpL3/Xbp1/eIF3h/RpL39/eIF4G1/RpL10/eIF3e/eIF1A/eIF5B/RpL23A/TyrRS/ThrRS/HisRS/eIF3j/Dp1/Pdha/RpL15/Fmr1/eEF1beta/Spt6/Mkrn1/eEF1gamma/eIF3g1/RpL35/Pink1/RpL17/RpS28b/RpL37a/eIF5/Ntf-2/RpL36A/CG13124/eEF1delta/RpL24/CG10602/RpL21/Not3/CG8635/RpS15Ab/RpS11/eIF3m/RpS23/RpS15/eIF3b/eIF3c/eIF3k/RpS16/CNBP/RpL12/PAN3/RpL28/eIF1/RpL18/Srp9/RpL10Ab/Pop2/eIF3l/Pex3/RpL26/eRF1/CG7414/eIF3a/eIF3f1/RpL35A/RpL13A/CG2017/mRpS9/RpL34b/RpL24-like/Paip2/RpS5b/Sra-1/mRpS11/Syp/RpS30/Ythdf/RpS27/RpL27/RpL34a/Pdhb/RpS8/RpS7/RpL6/RpL38/eIF3d1/Gclc/schlank/Rheb/Gclm/Rbfox1/eIF4EHP/RpL5/Not1/AsnRS/RpS25/pix/RpL30/kra/glo/RpS6/RpS24/RpS26/RpS29/RpL8/RpL37A/eIF2alpha/larp/Gprk2/bru2/eIF4H1/Acsl/Unr/sqd/eIF2gamma/bru3/orb2/how/pAbp/tn/muc/Ge-1/eEF1alpha1/bsf/RpS10b/RpL27A/RpL31/RpL19/eEF5/RpS12/mRpS5,195,1.617796782732641,0.6940303970405718,11.512070636755164
bp,GO:0006511,ubiquitin-dependent protein catabolic process,131/1637,131,1637,279/6356,279,6356,4.763091982201311e-15,3.0755965370785607e-12,2.3736671923331044e-12,Pka-C1/Hsc70-3/eIF4A/Prosbeta6/dco/Rpn8/sgg/RpL40/Prosalpha4/Ubc6/gol/Calr/faf/gcl/Uch/Prosbeta1/eff/poe/Cdc27/CkIalpha/Diap2/Rpt2/Rpn10/Cul1/Cnx99A/Vsp37A/Prosalpha5/Usp47/Cbl/Rpt6/Vps28/eIF3h/Vps25/Uba1/Prosbeta2/Prosalpha7/EloB/inc/SkpA/Roc1a/Ubc10/Prosbeta3/Rad23/STUB1/Stam/Tnks/Rpt5/Rpt4/Rpt3/Rpt1/Rpn7/Rpn6/Rpn5/Rpn9/Rpn2/Rpn11/Rpn1/Prosbeta5/Pink1/UbcE2H/Usp7/HUWE1/CG8974/CG8188/Ubqn/CG15445/Usp2/Rchy1/Ufd4/CG9934/Prosbeta4/Sgt/Pomp/CG7220/PI31/CG17019/Rpn13/Ntan1/Vps20/Herc4/CG1317/CG7546/CG4911/CG7656/Rnf146/Usp32/CG7611/gzl/Kcmf1/trbd/FBXO11/CG5823/Usp8/Usp12-46/puf/Npl4/Vps2/Gp93/ago/Fsn/Roc2/Trim9/Ndfip/Usp10/CG32850/CG40045/snama/Prosalpha2/ALiX/Ubi-p5E/shrb/Prosbeta7/Prosalpha6/Nedd4/ctrip/Ubr3/Cul3/Prosalpha3/Rpn3/RanBPM/fzr/CkIIalpha/rdx/tn/Sem1/EloC/Bruce/Ubc7/slmb/Vps4/TER94,131,1.8230656218320513,0.8663664925826283,11.512070636755164
bp,GO:0030163,protein catabolic process,144/1637,144,1637,317/6356,317,6356,6.0973444375106096e-15,3.1598754445457914e-12,2.4387115098334313e-12,Pka-C1/Hsc70-3/eIF4A/Prosbeta6/dco/Rpn8/sgg/RpL40/RpS27A/Ubi-p63E/Prosalpha4/Ubc6/gol/Calr/faf/gcl/Uch/Prosbeta1/eff/poe/Cdc27/Cp1/Oda/CkIalpha/Diap2/Rpt2/Rpn10/Cul1/Cnx99A/Vsp37A/Prosalpha5/Usp47/Cbl/Rpt6/Vps28/eIF3h/Vps25/Uba1/Prosbeta2/Prosalpha7/EloB/inc/SkpA/Roc1a/Timp/Ubc10/Prosbeta3/Rad23/STUB1/Stam/Tnks/Hrd3/Rpt5/Rpt4/Rpt3/Rpt1/Rpn7/Rpn6/Rpn5/Rpn9/Rpn2/Rpn11/Rpn1/REG/Prosbeta5/Pink1/UbcE2H/Usp7/CtsB1/HUWE1/CG8974/CG8188/Ubqn/CG15445/Usp2/Rchy1/Ufd4/CG9934/Prosbeta4/Sgt/Pomp/Pngl/CG7220/PI31/CG17019/Rpn13/CG8405/Ntan1/Vps20/Herc4/CG1317/CG7546/CG4911/CG7656/Rnf146/Usp32/CG7611/gzl/Kcmf1/trbd/FBXO11/CG5823/CG4538/Usp8/Usp12-46/puf/Npl4/Vps2/Gp93/ago/CG18815/Fsn/Roc2/Trim9/Ndfip/Usp10/CG32850/CG40045/snama/Prosalpha2/ALiX/Ubi-p5E/shrb/Prosbeta7/Prosalpha6/Nedd4/CG12163/ctrip/Ubr3/Cul3/Prosalpha3/Rpn3/RanBPM/fzr/CkIIalpha/rdx/tn/Sem1/EloC/Bruce/Ubc7/slmb/Vps4/TER94,144,1.7637557353703492,0.8186507741772707,11.50033003599317
bp,GO:0043043,peptide biosynthetic process,186/1637,186,1637,442/6356,442,6356,6.291787389582328e-15,3.1598754445457914e-12,2.4387115098334313e-12,RpLP0/bru1/eEF1alpha2/eEF2/Hrb98DE/eIF4A/AspRS/RpL36/RpS5a/RpLP1/RpS3/RpL32/mle/pum/RpLP2/RpL4/sta/stau/RpL40/RpS27A/RpS14a/RpS14a/me31B/Hrb27C/RpS2/orb/eIF2beta/RpS17/RpL7/Pabp2/RpL23/RpS15Aa/Parp/RpS13/RpS9/RpL18A/RpS18/RpS19a/NAT1/heph/RpL13/RpS4/msi/twin/mRpL12/RpL11/RpL7A/eIF4E1/Diap2/RpL22/RpS21/Lis-1/RpL9/eIF3i/RpL29/RpS3A/Rga/RpL14/RpS20/eRF3/Rack1/eIF4B/RpL3/Xbp1/eIF3h/RpL39/eIF4G1/RpL10/eIF3e/eIF1A/eIF5B/RpL23A/TyrRS/ThrRS/HisRS/eIF3j/Dp1/RpL15/Fmr1/eEF1beta/Spt6/Mkrn1/eEF1gamma/eIF3g1/RpL35/Pink1/RpL17/RpS28b/RpL37a/eIF5/Ntf-2/RpL36A/CG13124/eEF1delta/RpL24/CG10602/RpL21/Not3/CG8635/RpS15Ab/RpS11/eIF3m/RpS23/RpS15/eIF3b/eIF3c/eIF3k/RpS16/CNBP/RpL12/PAN3/RpL28/eIF1/RpL18/Srp9/RpL10Ab/Pop2/eIF3l/RpL26/eRF1/CG7414/eIF3a/eIF3f1/RpL35A/RpL13A/CG2017/mRpS9/RpL34b/RpL24-like/Paip2/RpS5b/Sra-1/mRpS11/Syp/RpS30/Ythdf/RpS27/RpL27/RpL34a/RpS8/RpS7/RpL6/RpL38/eIF3d1/Gclc/Rheb/Gclm/Rbfox1/eIF4EHP/RpL5/Not1/AsnRS/RpS25/pix/RpL30/kra/glo/RpS6/RpS24/RpS26/RpS29/RpL8/RpL37A/eIF2alpha/larp/Gprk2/bru2/eIF4H1/Unr/sqd/eIF2gamma/bru3/orb2/how/pAbp/tn/Ge-1/eEF1alpha1/bsf/RpS10b/RpL27A/RpL31/RpL19/eEF5/RpS12/mRpS5,186,1.6339015470856355,0.7083210545909654,11.50033003599317
bp,GO:0048477,oogenesis,190/1637,190,1637,458/6356,458,6356,1.6923117493570123e-14,7.649249107093696e-12,5.9034959340727776e-12,bru1/arm/bic/BicD/brm/bsk/cact/CkIIbeta/Pka-C1/Chc/cni/csw/Lar/EcR/emc/ena/flw/Hrb98DE/Hsp83/if/Jra/Khc/dlg1/eIF4A/l(2)gl/Raf/pum/Ras85D/rl/Scm/sesB/sgg/shi/spir/sqh/stau/CCT1/Tm1/Pp1-87B/mts/ct/Syt1/me31B/Rop/Rap1/drk/mys/mdy/Hrb27C/hop/orb/14-3-3zeta/Top1/Klc/Parp/Dsor1/hep/Rac1/Cdc42/Akt1/msn/eff/heph/jar/cpb/fng/Moe/twin/tsr/ctp/Dp/Rab5/Rac2/Rho1/sty/Rala/Lis-1/rin/Rab10/Rab11/Rab7/Rab6/HDAC1/lama/fry/Past1/Rab4/snRNP-U1-70K/sktl/qm/Cbl/14-3-3epsilon/lig/Rack1/chb/Vps25/yps/Uba1/SmD3/Prosalpha7/Crk/CalpB/Rok/par-6/Pten/tapas/msps/Rpt4/Fmr1/CSN7/GMF/Spt6/cathD/Mkrn1/pigs/Dlic/Pdcd4/Tao/tho2/papi/baf/loqs/Nup44A/eIF3b/cpa/Cip4/nudE/M6/jagn/Sra-1/Syp/SCAR/mask/btz/bai/Rbfox1/Mrtf/endos/Not1/ALiX/shrb/spin/kra/alpha-Spec/glo/Pka-R1/kuz/pds5/Su(var)3-3/rhea/Diap1/par-1/Atg1/Atg13/lqfR/didum/capt/Dhc64C/aPKC/l(2)gd1/Gprk2/Csk/RanBPM/nsl1/cic/Src64B/Fs(2)Ket/milt/SERCA/bel/scrib/hts/sqd/CkIIalpha/AP-2alpha/smt3/pAbp/PDZ-GEF/kis/Hsc70-4/Bruce/Pi4KIIIalpha/dop/rump/da/slmb/Ge-1/LIMK1/TER94/SRPK,190,1.6107321679608828,0.6877166231083696,11.116381195519782
