GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,ontology
GO:0009987,cellular process,8635,1516,1151.33, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.32,BP
GO:0044237,cellular metabolic process,5530,1041,737.33, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.41,BP
GO:0065007,biological regulation,4476,897,596.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.5,BP
GO:0002181,cytoplasmic translation,134,99,17.87, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,5.54,BP
GO:0016043,cellular component organization,2898,645,386.4, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.67,BP
GO:0071840,cellular component organization or bioge...,3073,670,409.73, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.64,BP
GO:0051641,cellular localization,1074,325,143.2, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.27,BP
GO:0050789,regulation of biological process,4033,798,537.73, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.48,BP
GO:0050794,regulation of cellular process,3712,751,494.93, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.52,BP
GO:0048518,positive regulation of biological proces...,1733,435,231.07, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.88,BP
GO:0065008,regulation of biological quality,1304,356,173.87, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.05,BP
GO:0051649,establishment of localization in cell,847,266,112.93, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.36,BP
GO:0051179,localization,2436,547,324.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.68,BP
GO:0048856,anatomical structure development,2669,584,355.87, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.64,BP
GO:0048522,positive regulation of cellular process,1578,400,210.4, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.9,BP
GO:0010646,regulation of cell communication,938,280,125.07, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.24,BP
GO:0023051,regulation of signaling,938,280,125.07, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.24,BP
GO:0032502,developmental process,2870,612,382.67, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.6,BP
GO:0033036,macromolecule localization,969,285,129.2, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.21,BP
GO:0016192,vesicle-mediated transport,542,195,72.27, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.7,BP
GO:0009966,regulation of signal transduction,806,250,107.47, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.33,BP
GO:0044267,cellular protein metabolic process,2402,532,320.27, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.66,BP
GO:0048731,system development,1476,375,196.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.91,BP
GO:0008152,metabolic process,6296,1086,839.47, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.29,BP
GO:0048583,regulation of response to stimulus,1011,288,134.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.14,BP
GO:0009653,anatomical structure morphogenesis,1529,383,203.87, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.88,BP
GO:0048468,cell development,1406,361,187.47, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.93,BP
GO:0007154,cell communication,1836,436,244.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.78,BP
GO:0007275,multicellular organism development,2264,506,301.87, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.68,BP
GO:0051128,regulation of cellular component organiz...,684,221,91.2, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.42,BP
GO:0044248,cellular catabolic process,968,278,129.07, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.15,BP
GO:0006996,organelle organization,1930,450,257.33, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.75,BP
GO:0023052,signaling,1791,425,238.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.78,BP
GO:0022607,cellular component assembly,1385,354,184.67, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.92,BP
GO:0009056,catabolic process,1103,299,147.07, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.03,BP
GO:0046907,intracellular transport,691,218,92.13, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.37,BP
GO:0044085,cellular component biogenesis,1573,383,209.73, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.83,BP
GO:0048869,cellular developmental process,1692,401,225.6, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.78,BP
GO:0022412,cellular process involved in reproductio...,873,250,116.4, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.15,BP
GO:0030154,cell differentiation,1683,396,224.4, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.76,BP
