disease	log2foldchange	adj_pvalue	count_in_genome	count_in_localised_genes	gene_list
Huntington's disease	2.322342418	3.05E-46	222	106	"arm, bsk, Pka-C1, Chc, ena, g, Galphai, Hsc70-3, Hsf, Hsp83, Jra, Khc, Pfk, Pgi, Raf, Pkc53E, Pp1alpha-96A, pum, Ras64B, sgg, Su(var)205, Su(var)2-10, CCT1, Ubi-p63E, Pp1-87B, porin, Rop, 14-3-3zeta, gol, faf, Itp-r83A, Lac, Dsor1, Rac1, Akt1, LamC, cora, Sec61beta, eff, Snap25, Mef2, tsr, pnut, shot, Rab5, Hsp60A, nrv2, Rab11, Rab7, Rab4, 14-3-3epsilon, CLIP-190, Rack1, Vps28, ND-PDSW, Vps25, Sin3A, Crk, Tip60, RhoGAPp190, Pten, Mpcp2, Hsc70Cb, Drp1, CenG1A, Rpt1, Fmr1, Pink1, mahe, Sec61gamma, CG15445, Spp, CAP, RpS23, Asph, Vps35, GAPcenA, S-Lap1, M6, Nrx-1, Usp12-46, SppL, Unc-76, Atg8a, shrb, alphaSnap, Pka-R1, Su(var)3-3, Diap1, Atg1, Psa, Dhc64C, mub, SERCA, DnaJ-1, hts, SNF4Agamma, Glut1, CaMKII, smt3, ND-30, Hsc70-4, PyK, vib, slmb, zip"
cancer	2.064674731	7.04E-46	323	129	"arm, ben, brm, bsk, Cam, Cat, EcR, Hsc70-5, Idh, Jra, dlg1, AspRS, l(2)gl, Men, Rpn8, Raf, Ras85D, rl, Rm62, Sod1, sqh, Su(var)2-10, Pp1-87B, ct, Ubc6, B52, zfh1, Rap1, mys, hop, Rox8, Dsor1, hep, Cdc42, Arf79F, Taf1, Akt1, msn, RpS4, Mef2, twin, Cdc27, pnut, shot, Rab5, Rho1, Pglym78, HDAC1, snRNP-U1-70K, sktl, U2af38, Rga, ND-75, ND-23, Mo25, COX5A, ND-42, 14-3-3epsilon, Ran, Pi3K21B, Osbp, Vps25, Cse1, Sin3A, Uba1, RhoGEF2, Prosalpha7, Pp4-19C, eIF4G1, Ip259, SkpA, Rok, Pten, TyrRS, ThrRS, HisRS, Non1, lqf, Vha100-1, Rpn9, Spt6, Atg101, CG2862, COX5B, Not3, Sec31, eIF3m, Slik, Hipk, fmt, Pop2, TSG101, UQCR-Q, CG10565, M6, Tctp, Atg16, pins, mask, Liprin-alpha, Atg8a, Not1, AsnRS, alpha-Spec, C3G, Pp2A-29B, Diap1, Atg1, Atg13, Cul3, RpS29, Csk, Mi-2, cic, pyd, Src64B, Mdh1, scrib, mib1, smt3, Hsc70-4, SF2, Tlk, Girdin, VhaAC39-1, SRPK, Tango1, Vha44, zip"
tauopathy	2.030727399	2.04E-43	323	126	"Act5C, RpLP0, bru1, arm, bsk, Cam, Chc, Dab, Lar, ena, g, DCTN1-p150, His2Av, dco, Lam, RpLP1, sbr, sgg, sm, Sod1, sqh, alphaTub84B, fs(1)h, hop, Gdi, tws, 14-3-3zeta, Mbs, hdc, Sod2, Gel, Klc, hep, msn, heph, tsr, shot, Rab5, Rho1, SdhB, Diap2, RpS21, Rab14, Rab7, wun, fry, CaMKI, Past1, Pdp1, Usp47, snRNP-U1-70K, 14-3-3epsilon, Pdk1, eRF3, CLIP-190, chb, scu, Vha36-1, qkr58E-3, Prosalpha7, EloB, Clc, CalpB, par-6, eIF1A, Eaat1, Drp1, Amph, wdb, CG5009, Tsp96F, Fmr1, cathD, Vap33, Marf, Dlic, Tao, Spp, Tpr2, Hipk, PHGPx, Fit1, CG10077, Gabat, eRF1, Dmtn, Miro, SppL, krz, Scamp, Rheb, cpx, mask, Usp10, Tango5, eIF4EHP, Not1, spin, e(y)3, mnb, kuz, Diap1, par-1, Atg1, Psa, ReepA, bru2, Vha14-1, Mi-2, pyd, Src64B, Vha16-1, mub, Fs(2)Ket, milt, scrib, Flo2, SNF4Agamma, garz, CaMKII, Nrg, Nsf2, unc-104, dop, HnRNP-K, zip"
frontotemporal dementia and/or amyotrophic lateral sclerosis	2.265455415	1.62E-34	183	84	"Pka-C1, Khc, swm, hyd, ref(2)P, stau, RpS27A, Hrb87F, eIF2beta, Akt1, heph, PR-Set7, Arf102F, Mtor, Psi, eIF4E1, Nap1, Rala, rin, Rab14, Rab7, Smg5, Mitofilin, lig, emb, Rack1, eIF4B, Tnpo, TBPH, eIF1A, msk, eIF5B, Hsc70Cb, Drp1, ThrRS, Kap-alpha3, Rpn1, Marf, Pink1, CG1703, Atg101, Atg18b, Nup44A, CG8635, Rtf1, YME1L, CG7971, CG11486, Atg18a, Atg3, eRF1, Atg17, FBXO11, Brf, Syp, Miro, Ythdf, Npl4, Atg16, eIF3d1, tral, Capr, bchs, TBCC, SPoCk, Atg8a, pix, futsch, glo, Su(var)3-3, Chchd2, Atg1, Atg13, larp, eIF4H1, mub, Fs(2)Ket, SERCA, bel, pAbp, slmb, SF2, CCT8, TER94"
Parkinson's disease	2.217071482	2.05E-34	196	87	"bsk, Cat, Pka-C1, dnc, DCTN1-p150, Hsc70-5, Khc, Pgi, sgg, Sod1, mts, porin, fwd, Rop, Itp-r83A, mAcon1, Sod2, Parp, Uch, Akt1, RpS9, Snap25, tsr, dhd, Dp, Vps26, eIF4E1, Rpt2, Rab10, Rab11, Rab7, ND-42, Mitofilin, Pi3K21B, Pka-R2, Sin3A, SkpA, Tip60, Drp1, STUB1, wdb, Shmt, Marf, Pink1, hiw, Atg101, Daxx, CG5676, Vps13, EndoB, maf-S, Synj, Vps35, Eps-15, CG12025, PHGPx, Atg18a, Atg3, Usp32, Mics1, Keap1, EndoA, Usp8, Miro, mfrn, dj-1beta, Trx-2, wrd, mask, Gclm, Atg8a, Tpi, Pgk, cno, Pp2A-29B, Diap1, Chchd2, Atg1, Atg13, Gprk2, milt, ringer, Nsf2, Hsc70-4, Syx7, Glo1, TER94"
amyotrophic lateral sclerosis	2.085851299	1.29E-32	227	92	"AnxB9, ash2, Cam, Cat, DCTN1-p150, Hrb98DE, Hsc70-5, dco, Pfk, Pkc53E, pum, Rm62, sbr, sgg, Sod1, Su(var)205, Hrb87F, fwd, Hrb27C, Pabp2, Rox8, Itp-r83A, hdc, Sod2, ATPsynbeta, Parp, Taf1, Ref1, PR-Set7, Rab5, Hel25E, Rala, Rab11, Rab7, HDAC1, Ran, lig, emb, Pur-alpha, Pka-R2, Prosbeta2, Tnpo, TBPH, Tip60, msk, RhoGAPp190, Rgl, Hsc70Cb, Drp1, Idh3a, Kap-alpha3, VhaSFD, Rpn11, Fmr1, Vap33, Marf, Pink1, Usp7, ND-20, AnxB11, CG5445, Ubqn, CG9934, Ars2, Sod3, PPP1R15, Hipk, ATP6AP2, MED21, mask, htk, e(y)3, futsch, glo, Su(var)3-3, Rbp6, Rbp1, Atg1, CG42724, Fs(2)Ket, SERCA, bel, Vha68-2, pAbp, mbl, Hsc70-4, PI4KIIIalpha, Ptp61F, rump, SF2, caz, TER94"
neurodegenerative disease	1.978049804	3.75E-27	226	85	"Appl, bsk, Hrb98DE, Hsc70-5, Jra, Khc, ifc, Prosbeta6, Rpn8, ref(2)P, rl, sgg, Sod1, vap, Hrb87F, porin, Hrb27C, Itp-r83A, Sod2, Klc, hep, Rac1, Nc73EF, Akt1, poe, Mef2, Rho1, Hsp60A, Rpt2, Cul1, Rab11, HDAC1, Tom40, Prosalpha5, Rack1, Xbp1, Sin3A, Prosalpha7, SkpA, TBPH, Hsc70Cb, Eaat1, Drp1, Vha100-1, Rpt3, Rpn7, Rpn11, Rpn1, Fmr1, Prosbeta5, Vap33, Pink1, CG5445, Ubqn, loqs, Tpr2, Mlf, mrj, Atg18a, CG6512, Kcmf1, Syp, Usp8, Miro, Npl4, CG30122, Tpi, Sec61alpha, futsch, glo, Diap1, par-1, Atg1, Dhc64C, milt, SERCA, DnaJ-1, sqd, Hmgcr, SNF4Agamma, mbl, Hsc70-4, rump, Letm1, TER94"
Alzheimer's disease	2.129194014	1.14E-25	170	71	"Appl, bsk, Cat, Pka-C1, E(bx), g, Ldh, Jra, Khc, dlg1, Pgm1, Ras85D, rl, sgg, Sod1, Su(var)205, Itp-r83A, Sod2, Klc, hep, Rac1, Akt1, Pp2B-14D, Rab5, Rho1, Rab10, Rab11, Rab7, HDAC1, Nurf-38, Rab4, Pdk1, Pi3K21B, Xbp1, Sin3A, CG2924, syd, Tip60, Pten, STUB1, Amph, Lnk, Prosbeta5, Ubqn, Atf6, Sod3, CG6767, AdenoK, fabp, Droj2, EndoA, Miro, Gclc, HDAC4, Atg8a, sra, lap, stmA, beta-Spec, kuz, Diap1, Atg1, Atg13, fwe, Dhc64C, mub, SNF4Agamma, Glut1, Vha68-1, Dsp1, TER94"
autosomal dominant cerebellar ataxia	2.405711649	7.90E-19	85	43	"Hsc70-3, Prosbeta6, Raf, pum, Ras85D, Ras64B, rl, stau, drk, tws, Psc, Itp-r83A, Sod2, Dsor1, Akt1, eff, HDAC1, hrg, 14-3-3epsilon, CtBP, Vha36-1, Cse1, Sin3A, Uba1, eIF3e, ThrRS, Ythdc1, Taf10, Rpn11, UbcE2H, Nup44A, Mlf, Sc2, NUCB1, Diap1, mub, DnaJ-1, Patronin, Pcf11, pAbp, mbl, Hsc70-4, Sac1"
Machado-Joseph disease	1.870109028	3.20E-14	149	52	"bic, Dab, Gbeta13F, Hsc70-3, Hsf, ref(2)P, rl, ct, Hrb27C, RpII15, mAcon1, Rac1, Ccs, eff, poe, dhd, Cul1, Usp47, emb, Rack1, Sin3A, Prosbeta2, DAAM, Rad23, STUB1, HisRS, Kap-alpha3, CG5009, Rpn9, Marf, Usp2, CG5001, CG9934, Tpr2, Ars2, CG7220, mrj, CG4266, Herc4, Kcmf1, trbd, Droj2, UQCR-C1, Trx-2, Atg8a, 5PtaseI, Diap1, DnaJ-1, Doa, Hsc70-4, Pak, TER94"
Diamond-Blackfan anemia	3.228373158	9.44E-13	19	17	"RpS17, RpS15Aa, RpS19a, RpL11, RpL15, RpL35, RpS15Ab, RpL18, RpL26, RpL35A, RpS27, RpL27, RpS7, RpL5, RpS26, RpS29, RpS10b"
fragile X-associated tremor/ataxia syndrome	2.781155253	2.43E-11	32	21	"bsk, Hrb98DE, Prosbeta6, ras, Hrb87F, eIF4B, Pur-alpha, Prosbeta2, TBPH, eIF1A, Fmr1, eIF3b, eIF1, schlank, RpS25, kra, eIF2alpha, eIF4H1, bel, Hsc70-4, SF2"
developmental and epileptic encephalopathy	1.962573075	6.36E-09	86	32	"eEF1alpha2, Galphao, Got2, rb, shi, ct, Rop, Plc21C, 14-3-3zeta, Pp2B-14D, KrT95D, Eaat2, aralar1, CG9132, Zir, Synj, pns, UGP, gzl, Sra-1, cpx, CG30122, CG32264, alpha-Spec, sgl, Mdh2, Mdh1, milt, Vha68-2, Vha68-1, CanA-14F, eEF1alpha1"
olivopontocerebellar atrophy	2.775860953	8.96E-09	26	17	"Hsc70-3, pum, Akt1, eff, nmo, HDAC1, 14-3-3epsilon, CtBP, Sin3A, RhoGAPp190, Nup44A, Sc2, Spf45, Diap1, mub, DnaJ-1, vib"
nuclear type mitochondrial complex deficiency	2.38883783	3.95E-08	42	21	"ND-75, ND-23, ND-42, ND-PDSW, NP15.6, ND-B16.6, ND-ASHI, ND-20, ND-24, ND-18, ND-B17.2, ND-13A, ND-51, ND-B22, ND-B14, CG7461, ND-B14.7, ND-B12, ND-39, ND-49, ND-30"
viral infectious disease	2.293680597	7.02E-08	47	22	"awd, dlg1, hyd, Ras85D, 14-3-3zeta, NAT1, Rab5, 14-3-3epsilon, Rack1, RhoGEF2, TBPH, UbcE2H, CdGAPr, yip2, G9a, ago, l(2)gd1, Csk, RanBPM, Fs(2)Ket, scrib, AP-2alpha"
intrinsic cardiomyopathy	3.001814707	1.36E-07	17	13	"RpS5a, RpLP1, RpS3, RpS17, RpS15Aa, RpS13, CCT5, CCT3, RpS3A, CCT6, CCT7, RpL5, RpL27A"
Epstein-Barr virus hepatitis	2.318448502	3.65E-07	42	20	"awd, dlg1, hyd, Ras85D, 14-3-3zeta, NAT1, Rab5, 14-3-3epsilon, Rack1, RhoGEF2, TBPH, CdGAPr, yip2, ago, l(2)gd1, Csk, RanBPM, Fs(2)Ket, scrib, AP-2alpha"
infectious mononucleosis	2.318448502	3.65E-07	42	20	"awd, dlg1, hyd, Ras85D, 14-3-3zeta, NAT1, Rab5, 14-3-3epsilon, Rack1, RhoGEF2, TBPH, CdGAPr, yip2, ago, l(2)gd1, Csk, RanBPM, Fs(2)Ket, scrib, AP-2alpha"
carcinoma	1.637516943	1.52E-05	101	30	"arm, bsk, cact, dlg1, l(2)gl, Pfk, Raf, Ras85D, Ras64B, rl, zfh1, hep, Akt1, msn, Mef2, Rab5, RpL14, CtBP, Vps25, PRL-1, Timp, TSG101, SCAR, Diap1, Src64B, scrib, Nrg, tn, Syx7, Girdin"
spinocerebellar ataxia	2.166445409	2.36E-05	42	18	"Dab, eEF2, DCTN1-p150, mle, Pkc53E, nonA, tws, Itp-r83A, TBPH, Kap-alpha3, CG9248, CG6512, trbd, NLaz, beta-Spec, Dhc64C, DnaJ-1, Girdin"
mitochondrial complex deficiency	2.565715592	3.77E-05	23	13	"blw, SdhB, sun, ND-20, UQCR-14, ND-18, ND-51, Cyt-c1, UQCR-Q, ATPsynC, Neb-cGP, UQCR-C2, SdhA"
