ensembl_gene_id,ensembl_gene_name,human_homologs,GO_peroxisome_function,full_name,Myelin-24mo_protrusion_txn,Myelin-6mo_protrusion_txn,Myelin-P18_protrusion_txn,Myelin-P75_protrusion_txn
ENSMUSG00000059291,Rpl11,RPL11,Yes,ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:1914275],825.4955307944913,707.849875463906,634.8001704257391,1024.8920465639526
ENSMUSG00000022982,Sod1,SOD1,Yes,"superoxide dismutase 1, soluble [Source:MGI Symbol;Acc:MGI:98351]",535.0407645115715,522.506643351852,837.053452603206,755.3839744652704
ENSMUSG00000024953,Prdx5,PRDX5,Yes,peroxiredoxin 5 [Source:MGI Symbol;Acc:MGI:1859821],426.2140498055689,448.24978793491874,767.3473207226787,555.969975515116
ENSMUSG00000019054,Fis1,FIS1,Yes,"fission, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:1913687]",362.8703922231585,345.437622973603,369.25603295810896,410.49384735218933
ENSMUSG00000028603,Scp2,SCP2,Yes,"sterol carrier protein 2, liver [Source:MGI Symbol;Acc:MGI:98254]",174.91475770051002,196.1467670818527,115.7149785824291,131.99971329742493
ENSMUSG00000027533,Fabp5,FABP5,Yes,"fatty acid binding protein 5, epidermal [Source:MGI Symbol;Acc:MGI:101790]",162.3524943492369,168.22702638497788,458.70592812628615,257.17442359144644
ENSMUSG00000073481,Marc2,MARC2,Yes,mitochondrial amidoxime reducing component 2 [Source:MGI Symbol;Acc:MGI:1914497],156.9060975002289,134.5133583277811,80.90881037344369,136.74871586735824
ENSMUSG00000020333,Acsl6,AC034228.4 | ACSL6,Yes,acyl-CoA synthetase long-chain family member 6 [Source:MGI Symbol;Acc:MGI:894291],132.59523767207241,120.47541432701941,79.29742370177807,128.13510814842024
ENSMUSG00000026150,Mff,MFF,Yes,mitochondrial fission factor [Source:MGI Symbol;Acc:MGI:1922984],132.0541867065847,146.34415586164135,172.4314875839224,158.57777845762539
ENSMUSG00000021957,Tkt,TKT,Yes,transketolase [Source:MGI Symbol;Acc:MGI:105992],116.05114423644922,133.2773587031231,123.9465777392414,130.22800737050338
ENSMUSG00000022323,Rida,RIDA,Yes,reactive intermediate imine deaminase A homolog [Source:MGI Symbol;Acc:MGI:1095401],111.88150098493344,95.1184659365499,99.61055478712893,173.02221645238043
ENSMUSG00000026664,Phyh,PHYH,Yes,phytanoyl-CoA hydroxylase [Source:MGI Symbol;Acc:MGI:891978],106.81597395822662,109.04418364601487,122.21687287081622,149.74269342250122
ENSMUSG00000032883,Acsl3,ACSL3,Yes,acyl-CoA synthetase long-chain family member 3 [Source:MGI Symbol;Acc:MGI:1921455],105.4540430185625,100.2503104379114,56.229625215394165,69.59049280616186
ENSMUSG00000025907,Rb1cc1,RB1CC1,Yes,RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850],93.06729150583152,98.43660853769154,57.69237577991602,65.34939500522769
ENSMUSG00000013662,Atad1,ATAD1,Yes,"ATPase family, AAA domain containing 1 [Source:MGI Symbol;Acc:MGI:1915229]",84.20051630370722,81.51892158106679,34.520860851668445,46.25290474610721
ENSMUSG00000022789,Dnm1l,DNM1L,Yes,dynamin 1-like [Source:MGI Symbol;Acc:MGI:1921256],71.65180453553461,79.96148896804965,57.45841285268376,60.659586815325746
ENSMUSG00000036257,Pnpla8,PNPLA8,Yes,patatin-like phospholipase domain containing 8 [Source:MGI Symbol;Acc:MGI:1914702],71.53503980609645,70.0056804533044,68.92666187658743,61.143436034533984
ENSMUSG00000053898,Ech1,ECH1,Yes,"enoyl coenzyme A hydratase 1, peroxisomal [Source:MGI Symbol;Acc:MGI:1858208]",69.41236790949146,63.882373434096316,103.37562469012916,104.39469842069575
ENSMUSG00000030629,Zfand6,ZFAND6,Yes,"zinc finger, AN1-type domain 6 [Source:MGI Symbol;Acc:MGI:1929510]",65.09465516157336,61.87515137202755,84.71595661227113,74.49600003797121
ENSMUSG00000059743,Fdps,FDPS,Yes,farnesyl diphosphate synthetase [Source:MGI Symbol;Acc:MGI:104888],62.34902496176975,77.20104085268419,147.15896863930527,68.251624046669
ENSMUSG00000030688,Stard10,STARD10,Yes,START domain containing 10 [Source:MGI Symbol;Acc:MGI:1860093],60.75793188000887,63.29962786379082,58.65438551676856,69.10850396944376
