mmus_gene_id,mmus_gene_name,dmel_gene_id,dmel_gene_name,diopt_score
ENSMUSG00000026596,Abl2,FBgn0000017,Abl,13
ENSMUSG00000026842,Abl1,FBgn0000017,Abl,12
ENSMUSG00000030610,Det1,FBgn0000018,abo,14
ENSMUSG00000020052,Ascl1,FBgn0000022,ac,11
ENSMUSG00000027792,Bche,FBgn0000024,Ace,12
ENSMUSG00000023328,Ache,FBgn0000024,Ace,11
ENSMUSG00000024497,Pou4f3,FBgn0000028,acj6,15
ENSMUSG00000048349,Pou4f1,FBgn0000028,acj6,15
ENSMUSG00000031688,Pou4f2,FBgn0000028,acj6,11
ENSMUSG00000002103,Acp2,FBgn0000032,Acph-1,13
ENSMUSG00000032561,Acpp,FBgn0000032,Acph-1,13
ENSMUSG00000012777,Acp4,FBgn0000032,Acph-1,12
ENSMUSG00000031491,Chrna6,FBgn0000036,nAChRalpha1,14
ENSMUSG00000032303,Chrna3,FBgn0000036,nAChRalpha1,14
ENSMUSG00000022041,Chrna2,FBgn0000036,nAChRalpha1,13
ENSMUSG00000032773,Chrm1,FBgn0000037,mAChR-A,14
ENSMUSG00000046159,Chrm3,FBgn0000037,mAChR-A,13
ENSMUSG00000074939,Chrm5,FBgn0000037,mAChR-A,12
ENSMUSG00000022041,Chrna2,FBgn0000039,nAChRalpha2,13
ENSMUSG00000031491,Chrna6,FBgn0000039,nAChRalpha2,12
ENSMUSG00000032303,Chrna3,FBgn0000039,nAChRalpha2,12
ENSMUSG00000029580,Actb,FBgn0000042,Act5C,15
ENSMUSG00000062825,Actg1,FBgn0000042,Act5C,14
ENSMUSG00000029580,Actb,FBgn0000043,Act42A,15
ENSMUSG00000062825,Actg1,FBgn0000043,Act42A,13
ENSMUSG00000029580,Actb,FBgn0000044,Act57B,13
ENSMUSG00000029580,Actb,FBgn0000045,Act79B,11
ENSMUSG00000029580,Actb,FBgn0000046,Act87E,12
ENSMUSG00000029580,Actb,FBgn0000047,Act88F,11
ENSMUSG00000020899,Pfas,FBgn0000052,Pfas,15
ENSMUSG00000022962,Gart,FBgn0000053,Gart,17
ENSMUSG00000037622,Wdtc1,FBgn0000057,adp,16
ENSMUSG00000035277,Arx,FBgn0000061,al,10
ENSMUSG00000038379,Ttk,FBgn0000063,Mps1,13
ENSMUSG00000063129,Aldoart2,FBgn0000064,Ald1,17
ENSMUSG00000030695,Aldoa,FBgn0000064,Ald1,16
ENSMUSG00000017390,Aldoc,FBgn0000064,Ald1,15
ENSMUSG00000028307,Aldob,FBgn0000064,Ald1,15
ENSMUSG00000078681,Tm2d3,FBgn0000077,amx,15
ENSMUSG00000074268,Amy2a5,FBgn0000078,Amy-d,15
ENSMUSG00000093931,Amy2a3,FBgn0000078,Amy-d,15
ENSMUSG00000096569,Amy2a2,FBgn0000078,Amy-d,15
ENSMUSG00000096770,Amy2a4,FBgn0000078,Amy-d,15
ENSMUSG00000074268,Amy2a5,FBgn0000079,Amy-p,15
ENSMUSG00000093931,Amy2a3,FBgn0000079,Amy-p,15
ENSMUSG00000096569,Amy2a2,FBgn0000079,Amy-p,15
ENSMUSG00000096770,Amy2a4,FBgn0000079,Amy-p,15
ENSMUSG00000021814,Anxa7,FBgn0000083,AnxB9,12
ENSMUSG00000021866,Anxa11,FBgn0000083,AnxB9,12
ENSMUSG00000030199,Etv6,FBgn0000097,aop,11
ENSMUSG00000067274,Rplp0,FBgn0000100,RpLP0,15
ENSMUSG00000031996,Aplp2,FBgn0000108,Appl,14
ENSMUSG00000006651,Aplp1,FBgn0000108,Appl,13
ENSMUSG00000022892,App,FBgn0000108,Appl,13
ENSMUSG00000006589,Aprt,FBgn0000109,Aprt,14
ENSMUSG00000002107,Celf2,FBgn0000114,bru1,15
ENSMUSG00000005506,Celf1,FBgn0000114,bru1,15
ENSMUSG00000060904,Arl1,FBgn0000115,Arl1,16
ENSMUSG00000001270,Ckb,FBgn0000116,Argk,14
ENSMUSG00000021622,Ckmt2,FBgn0000116,Argk,12
ENSMUSG00000030399,Ckm,FBgn0000116,Argk,12
ENSMUSG00000006932,Ctnnb1,FBgn0000117,arm,15
ENSMUSG00000001552,Jup,FBgn0000117,arm,12
ENSMUSG00000030201,Lrp6,FBgn0000119,arr,15
ENSMUSG00000024913,Lrp5,FBgn0000119,arr,14
ENSMUSG00000020052,Ascl1,FBgn0000137,ase,8
ENSMUSG00000031575,Ash2l,FBgn0000139,ash2,16
ENSMUSG00000033952,Aspm,FBgn0000140,asp,10
ENSMUSG00000029423,Piwil1,FBgn0000146,aub,13
ENSMUSG00000033644,Piwil2,FBgn0000146,aub,10
ENSMUSG00000020897,Aurkb,FBgn0000147,aurA,13
ENSMUSG00000027496,Aurka,FBgn0000147,aurA,12
ENSMUSG00000070837,Aurkc,FBgn0000147,aurA,12
ENSMUSG00000020857,Nme2,FBgn0000150,awd,13
ENSMUSG00000037601,Nme1,FBgn0000150,awd,11
ENSMUSG00000037949,Ano10,FBgn0000152,Axs,13
ENSMUSG00000023044,Csad,FBgn0000153,b,14
ENSMUSG00000056880,Gadl1,FBgn0000153,b,11
ENSMUSG00000041911,Dlx1,FBgn0000157,Dll,11
ENSMUSG00000029754,Dlx6,FBgn0000157,Dll,10
ENSMUSG00000025812,Pard3,FBgn0000163,baz,14
ENSMUSG00000052062,Pard3b,FBgn0000163,baz,13
ENSMUSG00000074781,Ube2n,FBgn0000173,ben,14
ENSMUSG00000000093,Tbx2,FBgn0000179,bi,13
ENSMUSG00000018604,Tbx3,FBgn0000179,bi,12
ENSMUSG00000021660,Btf3,FBgn0000181,bic,15
ENSMUSG00000028568,Btf3l4,FBgn0000181,bic,15
ENSMUSG00000114133,Gm20075,FBgn0000181,bic,13
ENSMUSG00000014329,Bicc1,FBgn0000182,BicC,14
ENSMUSG00000037933,Bicd2,FBgn0000183,BicD,16
ENSMUSG00000003452,Bicd1,FBgn0000183,BicD,15
ENSMUSG00000024921,Smarca2,FBgn0000212,brm,16
ENSMUSG00000032187,Smarca4,FBgn0000212,brm,14
ENSMUSG00000043300,B3galnt1,FBgn0000221,brn,10
ENSMUSG00000068115,Ninl,FBgn0000228,Bsg25D,10
ENSMUSG00000021936,Mapk8,FBgn0000229,bsk,15
ENSMUSG00000020366,Mapk9,FBgn0000229,bsk,14
ENSMUSG00000046709,Mapk10,FBgn0000229,bsk,12
ENSMUSG00000027823,Gmps,FBgn0000239,bur,17
ENSMUSG00000055322,Tns1,FBgn0000244,by,11
ENSMUSG00000020422,Tns3,FBgn0000244,by,10
ENSMUSG00000021025,Nfkbia,FBgn0000250,cact,12
ENSMUSG00000024619,Cdx1,FBgn0000251,cad,11
ENSMUSG00000031326,Cdx4,FBgn0000251,cad,11
ENSMUSG00000029646,Cdx2,FBgn0000251,cad,10
ENSMUSG00000001175,Calm1,FBgn0000253,Cam,16
ENSMUSG00000019370,Calm3,FBgn0000253,Cam,15
ENSMUSG00000036438,Calm2,FBgn0000253,Cam,15
ENSMUSG00000028354,Fmn2,FBgn0000256,capu,11
ENSMUSG00000029434,Vps33a,FBgn0000257,car,16
ENSMUSG00000024387,Csnk2b,FBgn0000259,CkIIbeta,16
ENSMUSG00000027187,Cat,FBgn0000261,Cat,15
ENSMUSG00000005469,Prkaca,FBgn0000273,Pka-C1,14
ENSMUSG00000005034,Prkacb,FBgn0000273,Pka-C1,13
ENSMUSG00000031665,Sall1,FBgn0000287,salr,11
ENSMUSG00000027547,Sall4,FBgn0000287,salr,10
ENSMUSG00000031502,Col4a1,FBgn0000299,Col4a1,12
ENSMUSG00000031273,Col4a6,FBgn0000299,Col4a1,11
ENSMUSG00000031274,Col4a5,FBgn0000299,Col4a1,11
ENSMUSG00000021919,Chat,FBgn0000303,ChAT,18
ENSMUSG00000002297,Dbf4,FBgn0000307,chif,8
ENSMUSG00000020639,Pfn4,FBgn0000308,chic,11
ENSMUSG00000047454,Gphn,FBgn0000316,cin,17
ENSMUSG00000030761,Myo7a,FBgn0000317,ck,16
ENSMUSG00000024388,Myo7b,FBgn0000317,ck,11
ENSMUSG00000020803,Txndc17,FBgn0000318,cl,17
ENSMUSG00000047126,Cltc,FBgn0000319,Chc,15
ENSMUSG00000017897,Eya2,FBgn0000320,eya,12
ENSMUSG00000025932,Eya1,FBgn0000320,eya,11
ENSMUSG00000010461,Eya4,FBgn0000320,eya,10
ENSMUSG00000031539,Ap3m2,FBgn0000330,cm,16
ENSMUSG00000021824,Ap3m1,FBgn0000330,cm,14
ENSMUSG00000039783,Kmo,FBgn0000337,cn,13
ENSMUSG00000015759,Cnih1,FBgn0000339,cni,16
ENSMUSG00000024873,Cnih2,FBgn0000339,cni,13
ENSMUSG00000026514,Cnih3,FBgn0000339,cni,12
