Log 2 Ratio RNA Protrusion/Body_1,Log 2 Ratio RNA Protrusion/Body_2,ENSG,Gene name,Protein name,Uniprot
4.72569,4.65145,ENSG00000187193,MT1X;MTF,Metallothionein;Metallothionein-1X,A8MT68;A8MUC7;P80297;Q8WVB5
3.56613,3.99669,ENSG00000109475,RPL34,60S ribosomal protein L34,P49207;Q5MK14;Q6FG66;Q9BUZ2
0.29678,3.92293,ENSG00000187735,TCEA1,Transcription elongation factor A protein 1,A6NF25;A8K339;B7Z4W0;P23193;Q15563;Q6FG87
0.22026,3.71561,ENSG00000058091,CDK14,Cyclin-dependent kinase 14,A4D1E6;A6NK51;A8WFP6;B4DHG5;B4DK59;B4DNM2;C9IYJ9;C9JCM0;C9JWL6;O94921;Q75N06;Q75N22;Q8N764;Q9H3D7;Q9UDR0
3.91488,3.48877,ENSG00000168118,RAB4A,Ras-related protein Rab-4A,C9JZA1;P20338;Q53GC2;Q5T7P7;Q9BQ44
3.47022,3.48492,ENSG00000008988,RPS20,40S ribosomal protein S20,B2R4F4;B4DW28;P17075;P60866;Q5M8S9
0.27495,3.35894,ENSG00000219626,,,B5MD07;C9JAG6;C9JGZ2
3.33067,3.35228,ENSG00000169715,MT1E;MT1J;MT1L;MTF,Metallothionein;Metallothionein-1E;Metallothionein-1L,A2RRF7;P04732;Q86YX2;Q86YX4;Q86YX6;Q8TD51;Q93083
0.81295,3.14088,ENSG00000156931,VPS8,Vacuolar protein sorting-associated protein 8 homolog,A8K8Q8;B3KPR6;B9EIQ1;C9JB61;C9JG07;C9JIA0;C9JJN9;C9JKL0;C9JP71;C9JPI1;O94896;Q63HP2;Q8N3P4;Q9BVP9;Q9H9B0
2.01739,3.07074,ENSG00000232112,CCDC72,Translation machinery-associated protein 7,Q9P052;Q9Y2S6
2.81806,3.06951,ENSG00000187653,TMSL3,,A8MW06
2.63346,3.00739,ENSG00000145337,PREY,"Protein preY, mitochondrial",B2R571;Q96I23
2.68511,3.00371,ENSG00000115993,ALS2CR3;DKFZp451C1616;TRAK2,Trafficking kinesin-binding protein 2,O60296;Q53RS6;Q53TT7;Q86TA0;Q8IU62;Q8WVH7;Q96NS2;Q9C0K5;Q9C0K6
