validated_id,current_symbol,human_gene_symbol,Syp_brain_iCLIP,Syp_larva_iCLIP,sfari_dmel
FBgn0000014,abd-A,N/A,FALSE,TRUE,FALSE
FBgn0000017,Abl,ABL1,TRUE,FALSE,FALSE
FBgn0000024,Ace,ACHE,TRUE,TRUE,TRUE
FBgn0000037,mAChR-A,CHRM2,FALSE,FALSE,TRUE
FBgn0000042,Act5C,POTEF,TRUE,TRUE,TRUE
FBgn0000043,Act42A,POTEF,TRUE,TRUE,TRUE
FBgn0000044,Act57B,ACTBL2,FALSE,TRUE,FALSE
FBgn0000046,Act87E,ACTA2,FALSE,TRUE,FALSE
FBgn0000053,Gart,GART,FALSE,TRUE,FALSE
FBgn0000055,Adh,N/A,FALSE,TRUE,FALSE
FBgn0000056,Adhr,N/A,FALSE,TRUE,FALSE
FBgn0000061,al,ALX1,FALSE,FALSE,TRUE
FBgn0000064,Ald1,ALDOB,TRUE,TRUE,FALSE
FBgn0000071,Ama,LSAMP,FALSE,TRUE,FALSE
FBgn0000075,amd,DDC,FALSE,FALSE,TRUE
FBgn0000083,AnxB9,ANXA4,FALSE,TRUE,FALSE
FBgn0000097,aop,ETV7,FALSE,TRUE,FALSE
FBgn0000100,RpLP0,RPLP0,TRUE,TRUE,FALSE
FBgn0000108,Appl,APLP1,TRUE,TRUE,FALSE
FBgn0000114,bru1,CELF1,FALSE,TRUE,FALSE
FBgn0000115,Arl1,ARL1,FALSE,TRUE,FALSE
FBgn0000116,Argk,CKMT1B,TRUE,TRUE,FALSE
FBgn0000117,arm,JUP,TRUE,TRUE,TRUE
FBgn0000137,ase,N/A,TRUE,FALSE,FALSE
FBgn0000140,asp,ASPM,FALSE,FALSE,TRUE
FBgn0000150,awd,NME2P1,FALSE,TRUE,FALSE
FBgn0000153,b,GAD1,FALSE,TRUE,FALSE
FBgn0000157,Dll,DLX4,FALSE,FALSE,TRUE
FBgn0000163,baz,PARD3B,FALSE,FALSE,TRUE
FBgn0000173,ben,UBE2NL,TRUE,TRUE,FALSE
FBgn0000179,bi,TBX3,FALSE,TRUE,FALSE
FBgn0000181,bic,BTF3,TRUE,TRUE,FALSE
FBgn0000183,BicD,BICD1,FALSE,TRUE,FALSE
FBgn0000212,brm,SMARCA4,FALSE,FALSE,TRUE
FBgn0000228,Bsg25D,NIN,FALSE,FALSE,TRUE
FBgn0000239,bur,GMPS,TRUE,TRUE,FALSE
FBgn0000244,by,TNS4,FALSE,FALSE,TRUE
