FBgn_ID,CPTI,gene_name,nerve_glia_id,NMJ_id,CB_id,MB_id,OL_id,VNC_id,overview_id
FBgn0013997,CPTI001977,Nrx-IV,2140233,2125613,2138051,2138052,2138053,2137931,2138050
FBgn0003435,CPTI002828,sm,2140295,2125621,2138388,2138387,2138630,2138621,2138652
FBgn0027087,CPTI003426,Aats-his,2140174,2137763,2138404,2138337,2138339,2138334,2138712
FBgn0028327,CPTI000633,l(1)G0320,2140194,2137797,2138890,2138878,2138882,2138886,2138409
FBgn0010905,CPTI001457,Spn,2140285,2137799,2138503,2138505,2138359,2138504,2138501
FBgn0000053,CPTI003733,ade3,2140147,2137802,2138848,2138849,2138850,2138379,2138378
FBgn0261238,CPTI003598,Alh,2140145,2137819,2138494,2138496,2138495,2138497,2138498
FBgn0028343,CPTI000326,Ankle2,2140148,2137821,2138701,2138660,2138654,2138707,2138685
FBgn0082582,CPTI002889,tmod,2140210,2137822,2138603,2138838,2138636,2138382,2138843
FBgn0264442,CPTI004479,ab,2140146,2137825,2138714,2138839,2138696,2138716,2138695
FBgn0262559,CPTI002315,mdh2,2140230,2137826,2138120,2138121,2138117,2138119,no data
FBgn0010215,CPTI002342,alpha-Cat,-,2137828,2138147,2138151,2138357,2138665,2138929
FBgn0010238,CPTI002408,Lac,2140183,2137829,2138165,2138076,2138026,2138013,2138002
FBgn0039274,CPTI002443,CG11920,2140143,2137830,2138486,2138341,2138487,2138488,2138484
FBgn0003716,CPTI002487,tkv,2140234,2137831,2138046,2138048,2138049,2138047,2138045
FBgn0028341,CPTI002750,Ptpmeg2,2140245,2137832,2137755,2137765,2137756,2137766,2137754
FBgn0022986,CPTI002103,qkr58E-1,2140199,2137833,2138786,2138798,2138791,2138805,2138713
FBgn0030478,CPTI002793,CG1640,2140260,2137834,2138888,2138876,2138880,2138884,2138676
FBgn0052423,CPTI002796,shep,2140137,2137835,2138401,2139235,2138332,2138333,2138351
FBgn0036239,CPTI002818,Pop2,-,2137836,2138279,2138826,2138932,2138933,2138934
FBgn0020653,CPTI000915,Trxr-1,-,2137837,2138105,2137996,2138000,2137993,2138089
FBgn0063485,CPTI002905,Lasp,-,2137839,2138694,2138908,2138911,2138915,2138668
FBgn0004924,CPTI002927,Top1,2143398,2137840,2138529,2138677,2138530,2138532,2138533
FBgn0052626,CPTI001081,AMPdeam,-,2137841,2138568,2138348,2138349,2139013,2138347
FBgn0005777,CPTI001194,PpD3,2140193,2137842,2138907,2138895,2138898,2138903,2138602
FBgn0266521,CPTI001234,stai,2140236,2137843,2137990,2137992,2137991,2138015,2137989
FBgn0265140,CPTI001259,Neu3,2140216,2137844,2138514,2138516,2138515,2138517,2138518
FBgn0261552,CPTI001261,ps,2143390,2137845,2138322,2138326,2138324,2138325,2138323
FBgn0052479,CPTI001308,Usp10,2140279,2137847,2138252,2138250,2138253,2138254,2138251
FBgn0265523,CPTI001328,Smr,2140191,2137849,2138927,2138756,2138918,2138924,2138605
