"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","Ensmbl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"1","ENSMUSG00000025353","66844","1914094","Ormdl2","Fly","40404","FBgn0037110","ORMDL","","14","13.9","moderate","Yes","No","Compara, eggNOG, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ORMDL)    DRscDB Data: (ORMDL)"
"2","ENSMUSG00000025354","74330","1921580","Dnajc14","Fly","40566","FBgn0037252","CG14650","","11","10.84","high","Yes","Yes","eggNOG, Isobase, TreeFam, Domainoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (CG14650)    DRscDB Data: (CG14650)"
"2","ENSMUSG00000025354","74330","1921580","Dnajc14","Fly","42812","FBgn0039116","CG10375","","3","2.92","low","No","No","OrthoDB, Phylome, SwiftOrtho","","Add","G2F details (CG10375)    DRscDB Data: (CG10375)"
"3","ENSMUSG00000025355","58223","1927899","Mmp19","Fly","37949","FBgn0035049","Mmp1","","7","6.88","moderate","Yes","No","eggNOG, OrthoDB, TreeFam, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Mmp1)    DRscDB Data: (Mmp1)"
"3","ENSMUSG00000025355","58223","1927899","Mmp19","Fly","35997","FBgn0033438","Mmp2","","6","5.92","moderate","No","No","eggNOG, OrthoDB, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Mmp2)    DRscDB Data: (Mmp2)"
"4","ENSMUSG00000025357","13139","102952","Dgka","Fly","35738","FBgn0085390","Dgk","","11","10.82","moderate","Yes","No","eggNOG, TreeFam, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (Dgk)    DRscDB Data: (Dgk)"
"4","ENSMUSG00000025357","13139","102952","Dgka","Fly","31826","FBgn0261549","rdgA","","3","2.84","low","No","No","Compara, OrthoFinder, Phylome","","Add","G2F details (rdgA)    DRscDB Data: (rdgA)"
"4","ENSMUSG00000025357","13139","102952","Dgka","Fly","36408","FBgn0020930","Dgkepsilon","","3","2.81","low","No","No","eggNOG, OrthoFinder, Phylome","","Add","G2F details (Dgkepsilon)    DRscDB Data: (Dgkepsilon)"
"5","ENSMUSG00000025358","12566","104772","Cdk2","Fly","42453","FBgn0004107","Cdk2","","12","11.86","high","Yes","Yes","eggNOG, Homologene, OrthoDB, TreeFam, Inparanoid, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (Cdk2)    DRscDB Data: (Cdk2)"
"5","ENSMUSG00000025358","12566","104772","Cdk2","Fly","34411","FBgn0004106","Cdk1","","8","7.75","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (Cdk1)    DRscDB Data: (Cdk1)"
"5","ENSMUSG00000025358","12566","104772","Cdk2","Fly","36727","FBgn0013762","Cdk5","","6","5.85","moderate","No","No","OrthoDB, OrthoFinder, orthoMCL, Phylome, RoundUp, SwiftOrtho","","Add","G2F details (Cdk5)    DRscDB Data: (Cdk5)"
