ensembl_gene_id	Gene	flygene	flygenename	soma_log2FC	neurite_log2FC	log2FC_LR_v1	pvalue_v1	minusdox_log2LR	plusdox_log2LR	log2FC_LR_v2	pvalue_v2	log2FC_LR_final	pvalue_final	pvalue.adjust	CLIPin3UTR
ENSMUSG00000064337	mt-Rnr1			-2.29e-01	-1.20e+00	-0.967948	 6.56e-03	 3.06e+00	 2.09e+00	-0.967979	 7.18e-03	-0.967979	 7.18e-03	 6.60e-02	no
ENSMUSG00000064339	mt-Rnr2			 9.72e-02	-1.07e+00	-1.167742	 1.61e-05	 2.68e+00	 1.52e+00	-1.167964	 3.88e-04	-1.167964	 3.88e-04	 8.23e-03	no
ENSMUSG00000064341	mt-Nd1	FBgn0013679	mt:ND1	 2.34e-01	-4.41e-01	-0.674857	 3.09e-03	 2.39e+00	 1.71e+00	-0.674742	 1.63e-02	-0.674742	 1.63e-02	 1.12e-01	no
ENSMUSG00000064345	mt-Nd2	FBgn0013680	mt:ND2	 7.62e-01	-9.17e-02	-0.853408	 8.57e-11	 2.33e+00	 1.48e+00	-0.853501	 1.14e-08	-0.853501	 1.14e-08	 1.17e-06	no
ENSMUSG00000064351	mt-Co1	FBgn0013674	mt:CoI	 1.74e-01	-2.69e-01	-0.443324	 2.16e-02	 2.48e+00	 2.04e+00	-0.443441	 6.48e-02	-0.443441	 6.48e-02	 2.54e-01	no
ENSMUSG00000064354	mt-Co2	FBgn0013675	mt:CoII	 7.32e-01	 2.33e-01	-0.499342	 5.73e-02	 2.36e+00	 1.86e+00	-0.499470	 7.40e-02	-0.499470	 7.40e-02	 2.74e-01	no
ENSMUSG00000064356	mt-Atp8			 3.96e-01	 5.93e-01	 0.197034	 7.34e-01	 1.71e+00	 1.91e+00	 0.197079	 6.78e-01	 0.197034	 7.34e-01	 8.88e-01	no
ENSMUSG00000064357	mt-Atp6	FBgn0013672	mt:ATPase6	 5.09e-01	 1.91e-01	-0.318439	 3.79e-01	 2.23e+00	 1.91e+00	-0.318391	 3.68e-01	-0.318439	 3.79e-01	 6.63e-01	no
ENSMUSG00000064358	mt-Co3	FBgn0013676	mt:CoIII	 7.34e-02	-5.26e-01	-0.599382	 1.77e-01	 2.27e+00	 1.67e+00	-0.599055	 1.68e-01	-0.599382	 1.77e-01	 4.54e-01	no
ENSMUSG00000064360	mt-Nd3	FBgn0013681	mt:ND3	 4.08e-01	-2.02e-01	-0.609828	 1.88e-01	 1.80e+00	 1.19e+00	-0.609597	 2.19e-01	-0.609597	 2.19e-01	 5.10e-01	no
