status,gene_symbol,gene_name,ensembl_id,chromosome,genetic_category,gene_score,syndromic,eagle,number_of_reports,dmel_gene_id,dmel_gene_symbol,human_gene_hgnc_id,human_gene_symbol,diopt_score
9,ABAT,4-aminobutyrate aminotransferase,ENSG00000183044,16,"Rare Single Gene Mutation, Genetic Association",2,0,NA,6,FBgn0036927,Gabat,HGNC:23,ABAT,14
9,ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",ENSG00000154263,17,Rare Single Gene Mutation,2,0,NA,1,NA,NA,NA,NA,NA
9,ABCA13,ATP binding cassette subfamily A member 13,ENSG00000179869,7,"Rare Single Gene Mutation, Functional",2,0,NA,9,NA,NA,NA,NA,NA
9,ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",ENSG00000064687,19,Rare Single Gene Mutation,2,0,NA,4,NA,NA,NA,NA,NA
9,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ENSG00000143322,1,"Rare Single Gene Mutation, Functional",3,0,NA,10,FBgn0000017,Abl,HGNC:77,ABL2,9
9,ACE,angiotensin I converting enzyme,ENSG00000159640,17,"Rare Single Gene Mutation, Genetic Association",2,0,NA,4,FBgn0016122,Acer,HGNC:2707,ACE,10
9,ACE,angiotensin I converting enzyme,ENSG00000159640,17,"Rare Single Gene Mutation, Genetic Association",2,0,NA,4,FBgn0012037,Ance,HGNC:2707,ACE,10
9,ACHE,Acetylcholinesterase (Yt blood group),ENSG00000087085,7,Rare Single Gene Mutation,2,0,NA,6,FBgn0000024,Ace,HGNC:108,ACHE,9
9,ACTB,actin beta,ENSG00000075624,7,"Rare Single Gene Mutation, Syndromic",1,1,1,7,FBgn0000046,Act87E,HGNC:132,ACTB,8
9,ACTB,actin beta,ENSG00000075624,7,"Rare Single Gene Mutation, Syndromic",1,1,1,7,FBgn0000043,Act42A,HGNC:132,ACTB,11
9,ACTB,actin beta,ENSG00000075624,7,"Rare Single Gene Mutation, Syndromic",1,1,1,7,FBgn0000042,Act5C,HGNC:132,ACTB,11
9,ACTB,actin beta,ENSG00000075624,7,"Rare Single Gene Mutation, Syndromic",1,1,1,7,FBgn0000044,Act57B,HGNC:132,ACTB,8
9,ACTL6B,actin like 6B,ENSG00000077080,7,"Rare Single Gene Mutation, Syndromic",NA,1,NA,12,FBgn0025716,Bap55,HGNC:160,ACTL6B,14
9,ACTN4,actinin alpha 4,ENSG00000130402,19,Rare Single Gene Mutation,2,0,NA,5,FBgn0000667,Actn,HGNC:166,ACTN4,12
9,ACY1,aminoacylase 1,ENSG00000243989,3,"Rare Single Gene Mutation, Syndromic",NA,1,NA,9,FBgn0037818,CG6465,HGNC:177,ACY1,13
9,ACY1,aminoacylase 1,ENSG00000243989,3,"Rare Single Gene Mutation, Syndromic",NA,1,NA,9,FBgn0039049,CG6726,HGNC:177,ACY1,10
9,ACY1,aminoacylase 1,ENSG00000243989,3,"Rare Single Gene Mutation, Syndromic",NA,1,NA,9,FBgn0039050,CG17110,HGNC:177,ACY1,13
9,ACY1,aminoacylase 1,ENSG00000243989,3,"Rare Single Gene Mutation, Syndromic",NA,1,NA,9,FBgn0039051,CG17109,HGNC:177,ACY1,11
9,ACY1,aminoacylase 1,ENSG00000243989,3,"Rare Single Gene Mutation, Syndromic",NA,1,NA,9,FBgn0039052,CG6733,HGNC:177,ACY1,13
9,ACY1,aminoacylase 1,ENSG00000243989,3,"Rare Single Gene Mutation, Syndromic",NA,1,NA,9,FBgn0039053,CG6738,HGNC:177,ACY1,11
9,ADCY3,adenylate cyclase 3,ENSG00000138031,2,Rare Single Gene Mutation,2,0,NA,2,FBgn0023416,Ac3,HGNC:234,ADCY3,11
9,ADCY5,Adenylate cyclase 5,ENSG00000173175,3,Rare Single Gene Mutation,2,0,NA,8,FBgn0263131,CG43373,HGNC:236,ADCY5,11
9,ADGRL1,adhesion G protein-coupled receptor L1,ENSG00000072071,19,"Rare Single Gene Mutation, Syndromic",NA,1,NA,5,FBgn0033313,Cirl,HGNC:20973,ADGRL1,10
9,ADK,adenosine kinase,ENSG00000156110,10,Rare Single Gene Mutation,2,0,NA,2,FBgn0036337,AdenoK,HGNC:257,ADK,12
9,ADNP,Activity-dependent neuroprotector homeobox,ENSG00000101126,20,"Rare Single Gene Mutation, Syndromic, Functional",1,1,41.5,62,NA,NA,NA,NA,NA
9,ADORA3,Adenosine A3 receptor,ENSG00000282608,1,"Rare Single Gene Mutation, Functional",2,0,NA,2,NA,NA,NA,NA,NA
9,ADSL,adenylosuccinate lyase,ENSG00000239900,22,"Rare Single Gene Mutation, Syndromic",1,1,0.35,8,FBgn0038467,AdSL,HGNC:291,ADSL,13
9,ADSS2,adenylosuccinate synthase 2,ENSG00000035687,1,Rare Single Gene Mutation,2,0,NA,3,NA,NA,NA,NA,NA
9,AFF2,"AF4/FMR2 family, member 2",ENSG00000155966,X,"Rare Single Gene Mutation, Syndromic",1,0,8.7,19,FBgn0041111,lilli,HGNC:3776,AFF2,9
9,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",ENSG00000157985,2,Rare Single Gene Mutation,2,0,NA,8,FBgn0028509,CenG1A,HGNC:16922,AGAP1,13
9,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",ENSG00000135439,12,Rare Single Gene Mutation,2,0,NA,5,FBgn0028509,CenG1A,HGNC:16921,AGAP2,10
9,AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",ENSG00000172650,10,Rare Single Gene Mutation,3,0,NA,1,NA,NA,NA,NA,NA
9,AGBL4,ATP/GTP binding protein-like 4,ENSG00000186094,1,Rare Single Gene Mutation,2,0,NA,3,FBgn0051019,CG31019,HGNC:25892,AGBL4,14
9,AGMO,alkylglycerol monooxygenase,ENSG00000187546,7,"Rare Single Gene Mutation, Genetic Association",2,0,NA,7,NA,NA,NA,NA,NA
9,AGO1,"argonaute 1, RISC catalytic component",ENSG00000092847,1,Rare Single Gene Mutation,2,0,NA,9,FBgn0262739,AGO1,HGNC:3262,AGO1,12
9,AGO2,argonaute RISC catalytic component 2,ENSG00000123908,8,Syndromic,2,0,NA,1,FBgn0262739,AGO1,HGNC:3263,AGO2,13
9,AGO3,argonaute RISC catalytic component 3,ENSG00000126070,1,Rare Single Gene Mutation,2,0,NA,5,FBgn0262739,AGO1,HGNC:18421,AGO3,12
9,AGO4,argonaute RISC catalytic component 4,ENSG00000134698,1,Rare Single Gene Mutation,2,0,NA,3,FBgn0262739,AGO1,HGNC:18424,AGO4,11
9,AGTR2,"angiotensin II receptor, type 2",ENSG00000180772,X,Rare Single Gene Mutation,2,0,NA,5,NA,NA,NA,NA,NA
9,AHDC1,AT-hook DNA binding motif containing 1,ENSG00000126705,1,"Rare Single Gene Mutation, Syndromic",1,1,14.25,23,NA,NA,NA,NA,NA
9,AHI1,Abelson helper integration site 1,ENSG00000135541,6,"Rare Single Gene Mutation, Syndromic, Genetic Association",NA,1,NA,19,NA,NA,NA,NA,NA
9,AHNAK,AHNAKnucleoprotein,ENSG00000124942,11,Rare Single Gene Mutation,2,0,NA,5,NA,NA,NA,NA,NA
9,AKAP9,A kinase (PRKA) anchor protein 9,ENSG00000127914,7,Rare Single Gene Mutation,2,0,NA,5,NA,NA,NA,NA,NA
9,ALDH1A3,aldehyde dehydrogenase 1 family member A3,ENSG00000184254,15,"Rare Single Gene Mutation, Syndromic",NA,1,NA,5,NA,NA,NA,NA,NA
9,ALDH1L1,aldehyde dehydrogenase 1 family member L1,ENSG00000144908,3,Rare Single Gene Mutation,3,0,NA,6,FBgn0032945,CG8665,HGNC:3978,ALDH1L1,14
9,ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",ENSG00000112294,6,"Rare Single Gene Mutation, Syndromic",1,1,2.35,13,FBgn0039349,Ssadh,HGNC:408,ALDH5A1,15
9,ALG6,"ALG6, alpha-1,3-glucosyltransferase",ENSG00000088035,1,"Rare Single Gene Mutation, Syndromic",NA,1,NA,2,FBgn0032234,gny,HGNC:23157,ALG6,12
9,AMPD1,Adenosine monophosphate deaminase 1,ENSG00000116748,1,"Rare Single Gene Mutation, Genetic Association",2,0,NA,3,NA,NA,NA,NA,NA
9,AMT,Aminomethyltransferase,ENSG00000145020,3,Rare Single Gene Mutation,2,0,NA,1,FBgn0032287,CG6415,HGNC:473,AMT,11
9,ANK2,"Ankyrin 2, neuronal",ENSG00000145362,4,"Rare Single Gene Mutation, Functional",1,0,10.8,21,FBgn0011747,Ank,HGNC:493,ANK2,8
9,ANK3,ankyrin 3,ENSG00000151150,10,"Rare Single Gene Mutation, Genetic Association",1,0,7.3,28,FBgn0011747,Ank,HGNC:494,ANK3,9
9,ANKRD11,ankyrin repeat domain 11,ENSG00000167522,16,"Rare Single Gene Mutation, Syndromic",1,1,22.6,60,FBgn0036305,CG10984,HGNC:21316,ANKRD11,10
9,ANKRD17,ankyrin repeat domain 17,ENSG00000132466,4,"Rare Single Gene Mutation, Syndromic",2,1,NA,5,FBgn0043884,mask,HGNC:23575,ANKRD17,9
9,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,ENSG00000185046,12,"Rare Single Gene Mutation, Syndromic",2,1,NA,4,FBgn0039075,CG4393,HGNC:24600,ANKS1B,11
9,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,ENSG00000185046,12,"Rare Single Gene Mutation, Syndromic",2,1,NA,4,FBgn0039249,CG11168,HGNC:24600,ANKS1B,10
9,ANXA1,Annexin A1,ENSG00000135046,9,Rare Single Gene Mutation,2,0,NA,2,NA,NA,NA,NA,NA
9,AP1S2,adaptor related protein complex 1 sigma 2 subunit,ENSG00000182287,X,"Rare Single Gene Mutation, Syndromic",NA,1,NA,7,FBgn0039132,AP-1sigma,HGNC:560,AP1S2,12
9,AP2S1,adaptor related protein complex 2 subunit sigma 1,ENSG00000042753,19,Rare Single Gene Mutation,1,0,0.2,2,FBgn0043012,AP-2sigma,HGNC:565,AP2S1,13
9,APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",ENSG00000034053,15,Rare Single Gene Mutation,2,0,NA,7,FBgn0052677,X11Lbeta,HGNC:579,APBA2,9
9,APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",ENSG00000034053,15,Rare Single Gene Mutation,2,0,NA,7,FBgn0026313,X11L,HGNC:579,APBA2,8
9,APBB1,amyloid beta precursor protein binding family B member 1,ENSG00000166313,11,"Rare Single Gene Mutation, Functional",2,0,NA,3,NA,NA,NA,NA,NA
9,APH1A,APH1A gamma secretase subunit,ENSG00000117362,1,Rare Single Gene Mutation,2,0,NA,3,FBgn0031458,aph-1,HGNC:29509,APH1A,14
9,ARHGAP11B,Rho GTPase activating protein 11B,ENSG00000285077,15,Rare Single Gene Mutation,2,0,NA,3,NA,NA,NA,NA,NA
9,ARHGAP32,Rho GTPase activating protein 32,ENSG00000134909,11,"Rare Single Gene Mutation, Functional",2,0,NA,8,FBgn0032821,CdGAPr,HGNC:17399,ARHGAP32,9
9,ARHGAP5,Rho GTPase activating protein 5,ENSG00000100852,14,Rare Single Gene Mutation,2,0,NA,5,FBgn0026375,RhoGAPp190,HGNC:675,ARHGAP5,14
9,ARHGEF10,Rho guanine nucleotide exchange factor 10,ENSG00000104728,8,"Rare Single Gene Mutation, Functional",2,0,NA,5,FBgn0263706,CG43658,HGNC:14103,ARHGEF10,9
9,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,ENSG00000116584,1,"Rare Single Gene Mutation, Syndromic",3,0,NA,7,FBgn0032796,CG10188,HGNC:682,ARHGEF2,8
9,ARHGEF9,Cdc42 guanine nucleotide exchange factor (GEF) 9,ENSG00000131089,X,"Rare Single Gene Mutation, Syndromic",1,1,14.2,16,NA,NA,NA,NA,NA
9,ARID1B,AT-rich interaction domain 1B,ENSG00000049618,6,"Rare Single Gene Mutation, Syndromic, Functional",1,1,34.75,68,FBgn0261885,osa,HGNC:18040,ARID1B,11
9,ARID2,AT-rich interaction domain 2,ENSG00000189079,12,"Rare Single Gene Mutation, Syndromic",2,1,NA,11,FBgn0042085,Bap170,HGNC:18037,ARID2,14
9,ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,ENSG00000172379,15,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,NA,14,FBgn0264075,tgo,HGNC:16876,ARNT2,10
9,ARX,aristaless related homeobox,ENSG00000004848,X,"Rare Single Gene Mutation, Syndromic",1,1,13.8,23,NA,NA,NA,NA,NA
9,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",ENSG00000151693,2,Rare Single Gene Mutation,2,0,NA,3,FBgn0050372,Asap,HGNC:2721,ASAP2,11
9,ASB14,ankyrin repeat and SOCS box containing 14,ENSG00000239388,3,Rare Single Gene Mutation,2,0,NA,4,NA,NA,NA,NA,NA
9,ASH1L,"Ash1 (absent, small, or homeotic)-like (Drosophila)",ENSG00000116539,1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,14.15,28,FBgn0005386,ash1,HGNC:19088,ASH1L,9
9,ASMT,acetylserotonin O-methyltransferase,ENSG00000196433,"X,Y","Rare Single Gene Mutation, Genetic Association",2,0,NA,10,NA,NA,NA,NA,NA
9,ASPM,abnormal spindle microtubule assembly,ENSG00000066279,1,"Rare Single Gene Mutation, Syndromic, Functional",2,0,NA,9,FBgn0000140,asp,HGNC:19048,ASPM,12
9,ASTN2,astrotactin 2,ENSG00000148219,9,"Rare Single Gene Mutation, Genetic Association",2,0,2.5,18,NA,NA,NA,NA,NA
9,ASXL3,Additional sex combs like 3 (Drosophila),ENSG00000141431,18,"Rare Single Gene Mutation, Syndromic",1,1,28.85,39,FBgn0261823,Asx,HGNC:29357,ASXL3,9
9,ADORA2A,adenosine A2a receptor,ENSG00000128271,22,Genetic Association,2,0,NA,7,NA,NA,NA,NA,NA
9,ADRB2,"adrenergic, beta-2-, receptor, surface",ENSG00000169252,5,Genetic Association,2,0,NA,10,NA,NA,NA,NA,NA
9,ATP10A,Probable phospholipid-transporting ATPase VA,ENSG00000206190,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,NA,9,FBgn0032120,CG33298,HGNC:13542,ATP10A,12
