gene_id,gene_symbol,description
ENSMUSG00000001289,Pfdn5,prefoldin 5 [Source:MGI Symbol;Acc:MGI:1928753]
ENSMUSG00000001313,Rnd2,Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]
ENSMUSG00000002395,Use1,unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914273]
ENSMUSG00000002835,Chaf1a,"chromatin assembly factor 1, subunit A (p150) [Source:MGI Symbol;Acc:MGI:1351331]"
ENSMUSG00000002948,Map2k7,mitogen-activated protein kinase kinase 7 [Source:MGI Symbol;Acc:MGI:1346871]
ENSMUSG00000003345,Csnk1g2,"casein kinase 1, gamma 2 [Source:MGI Symbol;Acc:MGI:1920014]"
ENSMUSG00000004508,Gab2,growth factor receptor bound protein 2-associated protein 2 [Source:MGI Symbol;Acc:MGI:1333854]
ENSMUSG00000004891,Nes,nestin [Source:MGI Symbol;Acc:MGI:101784]
ENSMUSG00000005417,Mprip,myosin phosphatase Rho interacting protein [Source:MGI Symbol;Acc:MGI:1349438]
ENSMUSG00000006333,Rps9,ribosomal protein S9 [Source:MGI Symbol;Acc:MGI:1924096]
ENSMUSG00000006740,Kif5b,kinesin family member 5B [Source:MGI Symbol;Acc:MGI:1098268]
ENSMUSG00000010608,Rbm25,RNA binding motif protein 25 [Source:MGI Symbol;Acc:MGI:1914289]
ENSMUSG00000012848,Rps5,ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1097682]
ENSMUSG00000013787,Ehmt2,euchromatic histone lysine N-methyltransferase 2 [Source:MGI Symbol;Acc:MGI:2148922]
ENSMUSG00000014602,Kif1a,kinesin family member 1A [Source:MGI Symbol;Acc:MGI:108391]
ENSMUSG00000014932,Yes1,"YES proto-oncogene 1, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:99147]"
ENSMUSG00000015087,Rabl6,"RAB, member RAS oncogene family-like 6 [Source:MGI Symbol;Acc:MGI:2442633]"
ENSMUSG00000016487,Ppfibp1,"PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:MGI Symbol;Acc:MGI:1914783]"
ENSMUSG00000018042,Cyb5r3,cytochrome b5 reductase 3 [Source:MGI Symbol;Acc:MGI:94893]
ENSMUSG00000018474,Chd3,chromodomain helicase DNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1344395]
ENSMUSG00000018593,Sparc,secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]
ENSMUSG00000019820,Utrn,utrophin [Source:MGI Symbol;Acc:MGI:104631]
ENSMUSG00000019978,Epb41l2,erythrocyte membrane protein band 4.1 like 2 [Source:MGI Symbol;Acc:MGI:103009]
ENSMUSG00000020315,Sptbn1,"spectrin beta, non-erythrocytic 1 [Source:MGI Symbol;Acc:MGI:98388]"
ENSMUSG00000020422,Tns3,tensin 3 [Source:MGI Symbol;Acc:MGI:2443012]
ENSMUSG00000020444,Guk1,guanylate kinase 1 [Source:MGI Symbol;Acc:MGI:95871]
ENSMUSG00000020580,Rock2,Rho-associated coiled-coil containing protein kinase 2 [Source:MGI Symbol;Acc:MGI:107926]
ENSMUSG00000021676,Iqgap2,IQ motif containing GTPase activating protein 2 [Source:MGI Symbol;Acc:MGI:2449975]
ENSMUSG00000022000,Zc3h13,zinc finger CCCH type containing 13 [Source:MGI Symbol;Acc:MGI:1914552]
ENSMUSG00000022272,Myo10,myosin X [Source:MGI Symbol;Acc:MGI:107716]
ENSMUSG00000022443,Myh9,"myosin, heavy polypeptide 9, non-muscle [Source:MGI Symbol;Acc:MGI:107717]"
ENSMUSG00000022770,Dlg1,discs large MAGUK scaffold protein 1 [Source:MGI Symbol;Acc:MGI:107231]
ENSMUSG00000022982,Sod1,"superoxide dismutase 1, soluble [Source:MGI Symbol;Acc:MGI:98351]"
ENSMUSG00000024213,Nudt3,nudix (nucleotide diphosphate linked moiety X)-type motif 3 [Source:MGI Symbol;Acc:MGI:1928484]
ENSMUSG00000024238,Zeb1,zinc finger E-box binding homeobox 1 [Source:MGI Symbol;Acc:MGI:1344313]
ENSMUSG00000024248,Cox7a2l,cytochrome c oxidase subunit 7A2 like [Source:MGI Symbol;Acc:MGI:106015]
ENSMUSG00000024290,Rock1,Rho-associated coiled-coil containing protein kinase 1 [Source:MGI Symbol;Acc:MGI:107927]
ENSMUSG00000024429,Gnl1,guanine nucleotide binding protein-like 1 [Source:MGI Symbol;Acc:MGI:95764]
ENSMUSG00000024660,Incenp,inner centromere protein [Source:MGI Symbol;Acc:MGI:1313288]
ENSMUSG00000024661,Fth1,ferritin heavy polypeptide 1 [Source:MGI Symbol;Acc:MGI:95588]
ENSMUSG00000024769,Cdc42bpg,CDC42 binding protein kinase gamma (DMPK-like) [Source:MGI Symbol;Acc:MGI:2652845]
ENSMUSG00000025241,Fyco1,FYVE and coiled-coil domain containing 1 [Source:MGI Symbol;Acc:MGI:107277]
ENSMUSG00000025261,Huwe1,"HECT, UBA and WWE domain containing 1 [Source:MGI Symbol;Acc:MGI:1926884]"
ENSMUSG00000025795,Rassf3,Ras association (RalGDS/AF-6) domain family member 3 [Source:MGI Symbol;Acc:MGI:2179722]
ENSMUSG00000025809,Itgb1,integrin beta 1 (fibronectin receptor beta) [Source:MGI Symbol;Acc:MGI:96610]
ENSMUSG00000025967,Eef1b2,eukaryotic translation elongation factor 1 beta 2 [Source:MGI Symbol;Acc:MGI:1929520]
ENSMUSG00000026028,Trak2,"trafficking protein, kinesin binding 2 [Source:MGI Symbol;Acc:MGI:1918077]"
ENSMUSG00000026031,Cflar,CASP8 and FADD-like apoptosis regulator [Source:MGI Symbol;Acc:MGI:1336166]
ENSMUSG00000026234,Ncl,nucleolin [Source:MGI Symbol;Acc:MGI:97286]
ENSMUSG00000026393,Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7 [Source:MGI Symbol;Acc:MGI:1890645]
ENSMUSG00000026796,Fam129b,"family with sequence similarity 129, member B [Source:MGI Symbol;Acc:MGI:2442910]"
ENSMUSG00000026932,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing [Source:MGI Symbol;Acc:MGI:1915241]"
ENSMUSG00000026991,Pkp4,plakophilin 4 [Source:MGI Symbol;Acc:MGI:109281]
ENSMUSG00000027007,Itprid2,ITPR interacting domain containing 2 [Source:MGI Symbol;Acc:MGI:1917849]
ENSMUSG00000027160,Ccdc34,coiled-coil domain containing 34 [Source:MGI Symbol;Acc:MGI:1915451]
ENSMUSG00000027803,Wwtr1,WW domain containing transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1917649]
ENSMUSG00000027935,Rab13,"RAB13, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1927232]"
ENSMUSG00000028069,Gpatch4,G patch domain containing 4 [Source:MGI Symbol;Acc:MGI:1913864]
ENSMUSG00000028333,Anp32b,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:MGI Symbol;Acc:MGI:1914878]"
